	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N155A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N164A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N226A	N228A	N229A	N230A	N232A	N233A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N255A	N256A	N257A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A
VINC	7.094869433	7.131342539	6.851749041	6.04220656	4.944858446	6.024585638	5.539158811	7.461070114	5.951867504	7.492654371	6.61176256	7.191799501	6.437960088	5.930737338	6.469234794	5.442943496	6.568336182	6.050936965	6.061776198	6.424586226	6.048759312	6.283551423	6.070389328	5.988684687	6.106432078	7.197708158	5.83541884	6.668175869	5.87282876	6.886306263	5.875288598	6.659639187	5.799605422	6.429615964	5.169925001	4.678071905	6.040015679	5.655351829	6.839203788	5.173926932	5.48864354	7.124121312	6.385431037	5.307428525	6.46760555	5.581953751	6.447909749	6.242221395	4.314696526	4.572889668	6.026800059	5.472487771	5.977279923	6.074676686	5.108524457	5.526694846	6.860466259	6.276124405	6.934280594	6.147713722	6.45779126	5.804776378	7.70528679	6.362820526	6.632268215	5.83541884	6.264911693	6.193771743	6.093813673	5.482202926	6.155830172	6.378511623	6.183883459	6.543805176	6.098032083	5.738767837	6.569855608	6.395748328	6.131342539	4.255500733	5.50779464	6.447909749	7.17990909	6.512542955	5.375039431	5.100136671	5.022367813	6.584962501	4.548436625	4.99095486	5.587964989	5.259272487	6.110613806	5.057450272	6.263034406	5.697662633	6.341630009	6.279842694	5.632268215	6.87774425	6.368069877
POTEE	6.037821465	6.055282436	7.303780748	6.396456803	5.541307446	6.760220946	6.070389328	5.48864354	5.725195817	6.521992956	6.409390936	6.769794147	6.461070114	5.563768278	6.417852515	6.675251386	8.117902789	6.21916852	6.475733431	6.28169825	7.519636253	6.592457037	6.671010241	6.546630087	5.984133595	6.287250643	6.110613806	6.560714954	6.704595348	7.262094845	6.733354341	6.116863758	7.568336182	6.444600814	5.307428525	6.62935662	6.506066931	5.733354341	6.62058641	5.292781749	6.575917361	6.758295009	6.314696526	5.904484098	6.551516018	6.607330314	6.307428525	6.369815424	5.694880193	5.99095486	6.258623185	7.307428525	6.760220946	5.545350645	6.153805336	7.680886921	6.6395216	6.715618859	6.388878339	6.081083929	7.363696745	6.369815424	7.407692649	6.897240426	5.485426827	5.958842675	6.551516018	5.255500733	6.12722055	6.622051819	6.397460726	6.965784285	7.589463893	5.680886921	6.569855608	6.510961919	6.929554316	7.717676423	6.93191939	5.902073579	5.66106548	6.151777655	7.14363831	7.019034669	6.193864519	5.95419631	5.82527683	6.0725346	5.209453366	7.254556252	6.167919866	5.078951341	6.836681593	6.229019408	6.616181231	6.09592442	6.276124405	7.015693807	5.663913842	6.465974465	5.213347282
HBB	3.498250868	5.911691582	3.95419631	5.357552005	6.923624611	5.153805336	6.648177796	6.846744023	4.371558863	3.711494907	4.137503524	4.201633861	4.781359714	4.224966365	4.626439137	3.925999419	4.224966365	8.195249158	3.981852653	5.303780748	5.64385619	8.101187815	5.765534746	6	5.683696454	4.44625623	6.651051691	3.722466024	6.059614856	7.703211467	5.14974712	5.614709844	9.658390023	4.608809243	6.426264755	8.371123201	4.145677455	4.738767837	5.153805336	6.477353527	8.150762744	6.956521363	5.263034406	8.892391026	5.62935662	5.022367813	4.887525271	4.87282876	7.719731057	9.862792311	5.388878339	5.510961919	5.43629512	4.504620392	10.00646634	4.439623138	5.108524457	5.078951341	7.400879436	8.419960178	6.616181231	7.898450233	5.749534268	4.596935142	4.812498225	5.694880193	9.213590303	4.911691582	7.262094845	4.270528942	6.517275693	5.906890596	5.596935142	6.251719093	6.089582893	8.142617655	6.965784285	4.061776198	7.530601415	10.09842693	7.277054876	6.276124405	4.791814071	4.882643049	7.891176125	6.441284272	6.601399391	7.685099172	6.665335917	7.708739041	5.887525271	7.64096791	5.504620392	10.36139553	5.292781749	4.161887682	6.842978832	3.632268215	5.429615964	5.087462841	8.265849421
TENA	4.485426827	5.62935662	6.87036472	8.173427297	5.087462841	6.866660751	5.738767837	3.925999419	6.54689446	3.897240426	6.808642468	6.614709844	5.300123725	7.557655155	6.62935662	8.148730779	6.652486495	5.944858446	7.874674032	4.285402219	6.314696526	5.899659026	6.474111514	6.927185358	7.532161085	5.581953751	6.906890596	6.965784285	7.675957033	6.64096791	8.292321633	5.914086097	6.762880293	6.102238194	7.256444596	5.197708158	8.417008587	6.191799501	7.413627929	5.789207575	6.298291731	6.175923742	8.136478518	6.223036338	7.682292371	6.482202926	6.255500733	7.712183051	4.760220946	6.261154673	7.319220503	8.330916878	7.423746229	6.517275693	6.193771743	8.700439718	6.803485376	7.249824549	5.916476644	7.150762744	7.514911265	6.956521363	5.719731057	5.680886921	7.475733431	7.462706751	6.918863237	7.911092332	6.399171094	7.010108453	6.847996907	7.249824549	7.793115555	7.11997861	7.355791547	7.031218731	6.485426827	5.845490051	6.173926932	5.350497247	6.444600814	6.714245518	6.266786541	6.726558779	3.786596362	5.091699834	6.613236955	4.95419631	5.439623138	4.292781749	6.678071905	4.54225805	7.191799501	5.918863237	6.682292371	7.345183447	6.283551423	6.623515741	7.678776174	6.577428828	5.539158811
CO6A3	5.472487771	5.947198584	6.525129251	7.060695932	6.866660751	5.646738698	6.026800059	9.116343961	5.581953751	5.469234794	7.033423002	6.442943496	5.232660757	7.337175869	6.183883459	6.613236955	5.705977902	5.974988112	6.839203788	5.465974465	6.50779464	5.608809243	5.09592442	6.346956889	5.786596362	5.578938713	6.87897051	6.022367813	7.489446599	6.390598906	7.751544059	5.478971805	6.263034406	5.587964989	9.321928095	5.526694846	7.459431619	6.268658955	6.163901214	5.439623138	6.62497818	5.635173947	7.48703608	6.617651119	6.623515741	6.422905743	6.378511623	7.158862106	5.078951341	7.433794059	6.656782364	6.99095486	6.861707287	6.076815597	5.762880293	6.981852653	6.490249211	6.300123725	5.746850183	7.567575869	6.806066226	7.556122818	5.984133595	5.778734244	6.063934306	7.405141463	6.008988783	7.237448996	5.64385619	6.159871337	7.182890893	6.806066226	7.23935985	7.568336182	7.275193334	6.242221395	6.738767837	6.01346226	7.059614856	5.875288598	7.293701542	5.675251386	7.049848549	6.125155131	4.722466024	5.357552005	7.033423002	6.159871337	4.963474124	6.311067102	8.713214653	4.906890596	7.751544059	5.346956889	7.312882955	8.427522371	5.83541884	6.078951341	7.330020516	7.524345816	6.957682486
APOA1	5.28169825	5.741466986	6.343407822	6.189824559	8.91318862	5.683696454	7.818901676	4.263034406	6.753551055	6.766860144	5.942514505	5.809928866	5.997744026	5.733354341	6.701826258	6.083213368	5.949534933	6.614709844	4.649615459	3.733354341	6.346956889	8.977566144	7.605849867	6.593951284	5.399171094	5.091699834	5.137503524	5.371558863	5.832890014	5.070389328	5.694880193	6.373300197	6.578938713	8.464749939	5.66106548	7.223036338	7.004501392	8.589838376	6.242221395	5.091699834	8.150255021	8.04220656	6.197708158	6.935459748	6.125155131	6.223036338	7.288173968	7.017921908	7.543805176	6.21916852	8.945443836	6.385431037	6.298291731	6.108524457	6.404290064	6.285402219	4.452858965	6.026800059	6.414473836	6.093813673	5.54225805	5.981852653	6.442943496	9.801223338	5.812498225	5.916476644	7.173926932	6.114783447	7.461070114	7.666756592	6.856736756	5.354028938	5.523561956	6.03562391	7.205548911	7.854868383	6.864186145	5.754887502	5.112700133	8.193771743	6.359310317	6.842978832	2.722466024	7.121015401	7.186857067	8.318768743	7.441284272	6.033423002	8.342963574	5.719731057	5.498250868	5.933100475	6.8008999	6.897240426	6.050936965	7.019034669	7.607330314	5.523561956	6.102238194	5.495055528	6.581953751
FIBA	5.422905743	6.642412773	5.649615459	6.211401637	8.598796925	4.760220946	6.236492618	5.526694846	5.850499414	5.419538892	6.427941333	4.523561956	7.829722735	6.40599236	6.62497818	9.92273305	5.716990894	7.148730779	4.842978832	8.657139777	6.710117632	5.741466986	6.95070169	6.746850183	8.11997861	5.240314329	5.741466986	5.554588852	5.044394119	5.968090752	7.373300197	8.023477152	7.016808288	6.323730338	7.171927354	7.190812368	7.116863758	6.263034406	6.118941073	10.28701972	7.611024797	6.499845887	6.847996907	6.994353437	6.58345891	4.949534933	6.587964989	6.251719093	8.01402047	5.887525271	7.206526016	7.729280846	7.48864354	5.768184325	6.177917792	6.171927354	5.040015679	4.857980995	5.426264755	6.352264173	7.203592714	8.156335937	5.224966365	7.195741293	5.807354922	5.845490051	6.554588852	6.472487771	6.960001932	6.630813152	7.081083929	5.314696526	6.974988112	6.089582893	7.372429792	7.06608919	6.037821465	6.58345891	6.539158811	6.690696444	6.744161096	5.902073579	5.10433666	6.871597266	7.911691582	8.727239777	7.653203362	8.384567923	8.198690586	5.776103988	6.276124405	8.619119511	5.28169825	6.974988112	6.942514505	6.881419908	6.545350645	4.529820947	7.204571144	4.977279923	6.559185866
ACTN4	7.145677455	7.0725346	6.58044702	5.997744026	4.887525271	6.462706751	5.289096702	6.955359305	6.10433666	7.157852169	7.075746538	7.381110294	6.572889668	6.336283388	6.429615964	5.339850003	6.87282876	6.061776198	6.630813152	6.741466986	6.429615964	6.195741293	6.015693807	5.995484519	6.622051819	7.297374861	6.187846909	6.818901676	6.085339669	7.147713722	6.14363831	6.623515741	5.949534933	6.432959407	5.485426827	4.897240426	6.087462841	5.459431619	7.070389328	4.554588852	5.044394119	6.656782364	6.44625623	5.332707934	6.780047576	5.95419631	6.431288654	6.565292521	4.240314329	5.51412226	5.730639956	5.584962501	6.151777655	6.199672345	5.62935662	6.316507819	7.122051448	6.464341533	6.910492832	6.595443985	6.431288654	5.827819025	7.044394119	5.981852653	6.690696444	6.345183447	5.760220946	6.596935142	5.94016675	5.289096702	6.247927513	6.856736756	6.392317423	6.584962501	6.348728154	5.857980995	6.499845887	7.020146573	6.416164165	4.232660757	5.963474124	6.729280846	7.227856573	6.402585758	4.614709844	4.972692654	5.638073837	6.026800059	3.432959407	4.852997588	5.87774425	5.469234794	6.171927354	5.044394119	6.421223299	5.815063017	6.311067102	6.8899602	6.125155131	6.738767837	6.676662335
ANXA2	6.387155718	6.608809243	6.224966365	6.568336182	5.807354922	7.070389328	6.336283388	6.437960088	6.866660751	6.499845887	6.575917361	6.832890014	6.298291731	7.279842694	6.758889433	5.617651119	7.227856573	6.462706751	7.375908263	6.381975479	6.736063628	6.793115555	6.277984747	6.791814071	5.911691582	6.30560579	7.269594252	6.826548487	7.015693807	6.760220946	5.885086225	6.063934306	6.563768278	6.503030646	5.986410935	6.387155718	6.249824549	6.06608919	6.512542955	5.462706751	5.995484519	6.400879436	6.789207575	6.605849867	6.283551423	7.365447589	5.867896464	6.397460726	5.526694846	6.330916878	6.244125943	6.348728154	6.173926932	6.899659026	6.6043679	7.183883459	6.855491443	7.111657346	6.263034406	6.77478706	7.025693274	6.139551352	6.636624621	5.9795681	7.0725346	6.45779126	6.549977143	6.177917792	6.575917361	6.159871337	6.232660757	7.075746538	6.378511623	6.92243574	6.51412226	6.422905743	6.972692654	6.733354341	6.672425342	5.8899602	6.92243574	6.373300197	6.725195817	6.806066226	6.882643049	5.472487771	6.325530332	5.988684687	5.371558863	6.381975479	7.352264173	6.251719093	6.997744026	5.892391026	6.14363831	6.465974465	7.129283017	7.29553937	6.244125943	6.638073837	6.733354341
LRP1	6.6043679	6.539158811	6.40599236	6.595443985	5.475733431	6.918863237	6.141596278	6.38024459	6.770829046	6.740118043	6.614709844	6.916476644	6.12722055	6.886306263	6.475733431	5.692092375	6.813781191	6.147713722	6.812498225	6.424586226	6.441284272	6.444600814	6.232660757	6.422905743	6.221103725	6.352264173	6.464341533	6.475733431	6.253611152	6.651051691	5.809928866	6.442943496	6.01346226	6.091699834	6.255500733	6.385431037	6.301953395	6.478971805	6.477353527	5.217230716	5.786596362	6.244125943	6.407692649	6.048759312	6.277984747	6.880195729	6.238404739	6.491853096	5.43629512	6.223036338	6.04220656	6.161887682	6.525129251	6.592457037	6.355791547	6.666756592	6.794415866	7.063934306	6.48864354	6.753551055	6.710117632	6.678071905	6.749534268	5.995484519	6.888743249	6.701826258	6.207502459	6.581953751	6.417852515	6.159871337	6.191799501	6.412781525	6.669593751	6.646738698	6.477353527	6.321928095	6.675251386	6.469234794	6.710117632	5.815063017	6.477353527	6.761551232	6.862947248	6.417852515	5.680886921	5.635173947	5.981852653	6.125155131	5.008988783	4.892391026	6.827819025	5.804776378	6.746850183	5.757556689	6.722466024	6.523561956	6.632268215	6.610286657	6.437960088	6.756222713	6.223036338
PLEC	6.230741003	6.733354341	6.242221395	7.54225805	5.711494907	6.826548487	6.464341533	6.587964989	6.708739041	6.183883459	7.212374788	6.663913842	6.515699838	7.77939106	6.630813152	6.745506266	6.787902559	6.301953395	7.668884984	6.482202926	6.62058641	6.776103988	6.462706751	6.504620392	6.390598906	7.203592714	7.333602628	6.909293086	7.06608919	6.73470962	6.829088444	6.285402219	6.332707934	6.849248703	7.28077077	6.397460726	7.008988783	6.242221395	6.411087227	6.390598906	6.257387843	6.339850003	6.658211483	6.30560579	6.789207575	7.527477006	6.316507819	6.5360529	5.711494907	6.255500733	6.587964989	6.610286657	6.554588852	6.495055528	6.622051819	7.299208018	7.114783447	7.029011087	6.221103725	6.777419716	6.426264755	6.849248703	6.826548487	6.397460726	7	6.82527683	6.388878339	6.593951284	6.022367813	6.12722055	6.469234794	7.400025518	6.493455201	6.910492832	7.016808288	6.741466986	6.574404309	6.651051691	6.704595348	6.020146573	7.263973355	6.459431619	5.951867504	6.789207575	6.203592714	5.325530332	6.911691582	6.046578367	5.189824559	5.548436625	7.259272487	6.653919873	7.040015679	5.449561375	6.195741293	6.777419716	6.816343705	7.268658955	6.817623258	6.491853096	6.456149035
ACTN1	7.185866545	7.101187815	6.927185358	5.9795681	5.274261661	6.826548487	5.426264755	7.111657346	5.860466259	6.671010241	7.021257621	7.411087227	6.563768278	6.876516947	6.139551352	5.902073579	6.802193217	6.10433666	6.836681593	6.495055528	6.45779126	6.287250643	6.151777655	6.316507819	6.857980995	6.780047576	6.417852515	6.834154981	6.17990909	7.285402219	6.04220656	6.678071905	6.087462841	6.441284272	5.741466986	5.129283017	6.385431037	5.456149035	6.849248703	5.465974465	5.108524457	6.653919873	6.54225805	5.491853096	6.627898616	6.057450272	6.685099172	6.191799501	4.452858965	5.711494907	5.794415866	5.807354922	6.419538892	6.368069877	5.958842675	6.139551352	7.21916852	6.753551055	6.964629667	6.548436625	6.589463893	6.157852169	7.056366761	6.213347282	6.914086097	6.432959407	6.053111336	6.575917361	5.842978832	5.343407822	6.40599236	6.802193217	6.348728154	6.744161096	6.472487771	5.972692654	6.529820947	7.099084761	6.638073837	4.655351829	6.076815597	6.725195817	7.257387843	6.517275693	4.963474124	5.197708158	5.736063628	6.118941073	3.916476644	4.632268215	6.110613806	5.64385619	6.361066489	5.048759312	6.464341533	6.155830172	6.381975479	6.776103988	6.09592442	6.710117632	6.636624621
GELS	7.099084761	6.857980995	6.707359132	6.232660757	5.185866545	6.648177796	5.815063017	6.834154981	6.46760555	7.114783447	6.554588852	7.176921112	6.608809243	6.369815424	6.51412226	5.201633861	6.753551055	6.290940402	6.605849867	6.744161096	6.274261661	6.129283017	6.794415866	6.118941073	6.307428525	6.958842675	6.131342539	6.614709844	6.191799501	6.540709263	5.847996907	6.581953751	5.925999419	6.525129251	5.224966365	5.318316841	6.285402219	6.102238194	7.033423002	4.781359714	5.703211467	6.662490364	6.503030646	5.584962501	6.809928866	6.201633861	6.46760555	6.58345891	5.236492618	5.5360529	5.82527683	6.193771743	6.125155131	6.399171094	5.933100475	6.346956889	6.897240426	6.993221467	6.909293086	6.285402219	6.803485376	6.053111336	7.152791852	6.477353527	6.736063628	6.414473836	5.99095486	6.808642468	6.5360529	5.87282876	6.141596278	6.77478706	6.483815777	6.666756592	6.531381461	6.074676686	6.619119511	7.102238194	6.456149035	5.40599236	5.988684687	6.716990894	7.184875343	6.51412226	5.697662633	5.321928095	5.623515741	6.251719093	5.177917792	5.51412226	6.283551423	5.770829046	6.289096702	5.727920455	6.312882955	5.961160258	6.395748328	6.474111514	6.290940402	6.949534933	6.478971805
POSTN	4.638073837	6.055282436	5.62058641	6.613236955	5.209453366	7.083213368	5.705977902	4.802193217	7.549207089	5.554588852	6.253611152	6.676662335	4.977279923	6.911691582	6.951867504	5.581953751	7.658925511	5.566815154	7.040015679	5	6.478971805	6.357552005	6.584962501	7.785942819	5.968090752	6.529820947	6.816343705	7.543805176	5.733354341	7.28169825	5.569855608	5.708739041	6.590961241	5.419538892	6.283551423	4.711494907	7.05202456	6.226893814	6.091699834	4.837943242	5.378511623	5.520422249	6.777419716	6.078951341	6.638073837	7.102238194	5.817623258	6.44625623	4.590961241	6.633721813	5.930737338	6.678071905	5.675251386	5.62935662	6.906890596	7.393175914	7.943100848	7.790511412	5.017921908	5.911691582	6.076815597	6.581953751	6.752213368	4.995484519	7.121015401	6.830356747	6.247927513	7.572131751	6.773468928	7.382840144	5.762880293	7.768184325	6.23457796	6.008988783	6.059614856	6.298291731	6.881419908	6.781359714	7.321026129	4.87774425	7.77280941	5.532940288	5.744161096	6.390598906	3.608809243	4.572889668	6.517275693	5.300123725	5	5.28169825	6.177917792	5.44625623	7.394891366	6.529820947	5.429615964	8.086932341	7.137503524	7.331812684	6.48864354	6.841721581	5.62935662
LTBP2	6.470862199	6.875288598	6.257387843	7.235535607	5.10433666	6.699051844	5.193771743	5.350497247	7.673839056	7.168922782	6.303780748	6.454504938	6.181897643	6.081083929	7.297374861	5.797012978	6.87774425	5.475733431	5.99095486	6.554588852	5.8899602	5.426264755	6.847996907	6.251719093	6.21916852	6.953032377	6.215290306	6.916476644	5.937815169	6.375039431	6.06608919	6.960001932	5.426264755	5.850499414	5.768184325	4.694880193	6.938991439	6.323730338	7.109569509	5.244125943	6.307428525	5.786596362	6.938991439	5.221103725	6.803485376	6.472487771	6.277984747	6.8008999	4.459431619	5.495055528	5.911691582	6.997744026	6.569855608	6.395748328	4.921245889	6.993221467	6.997744026	7.090641752	5.781359714	5.9795681	7.158862106	6.226893814	6.971543554	5.545350645	6.385431037	6.361066489	5.529820947	6.851749041	6.053111336	6.703211467	6.316507819	6.238404739	6.449561375	6.312882955	5.820178962	6.029011087	5.988684687	7.014578465	6.167919866	4.944858446	6.296457407	6.464341533	7.211401637	6.364572432	4.485426827	4.94016675	6.076815597	5.762880293	4.638073837	4.887525271	5.791814071	5.778734244	5.970393538	5.680886921	6.696272084	5.669593751	6.274261661	6.912889336	7.335390355	7.166916252	5.48864354
