	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N138A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N192A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N224A	N226A	N228A	N229A	N230A	N232A	N233A	N234A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N254A	N255A	N257A	N260A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A	N153AA
A2AP	5.10433666	6.312882955	4.566815154	5.722466024	6.951867504	6.789207575	6.787902559	7.472487771	5.925999419	5.916476644	6.874059203	6.746850183	4.902073579	8.141596278	6.565292521	5.977279923	7.92243574	6.093813673	6.175923742	4.944858446	7.299208018	6.399171094	7.62497818	7.078951341	6.528258743	5.832890014	5.64096791	5.617651119	6.139551352	5.860466259	7.242221395	6.794415866	6.623515741	6.687900522	8.041659152	6.689299161	7.29553937	6.680886921	9.644757593	6.454504938	6.189824559	6.183883459	7.638073837	6.518849829	5.830356747	5.581953751	6.323730338	8.475328123	6.404290064	6.733354341	6.419538892	7.363696745	6.586464526	6.141596278	5.880195729	5.956521363	5.930737338	5.832890014	6.338067798	6.649615459	6.593951284	8.376342483	6.283551423	6.95419631	6.321928095	5.017921908	6.937815169	6.078951341	6.559185866	6.797012978	6.662490364	5.478971805	5.722466024	6.118941073	5.925999419	6.752213368	7.336283388	7.084276911	6.699051844	6.037821465	7.572889668	6.526694846	7.709428501	5.605849867	4.802193217	6.161887682	8.721782768	7.140574178	7.562242424	7.789207575	8.270528942	7.394891366	6.710117632	6.431288654	6.539158811	6.553053253	6.48703608	6.346956889	7.14363831	6.77478706	6.854245054	7.311975314	7.38024459	6.268658955	6.259272487
FETUA	7.873444113	4.727920455	7.6574971	7.563005553	7.053111336	4.66106548	8.506605116	5.880195729	3.963474124	7.862327401	5.64385619	4.270528942	6.737416366	8.302867361	5.765534746	5.850499414	8.389738879	4.255500733	7.107478647	5.557655155	7.559185866	8.928370323	6.093813673	5.733354341	9.036997774	4.087462841	6.354028938	3.797012978	4.459431619	7.248876343	9.132371199	4.364572432	9.340072624	6.99095486	5.078951341	8.751544059	7.226893814	5.904484098	8.152284842	7.364572432	7.36018867	7.617651119	5.008988783	7.85735901	4.649615459	7.369815424	6.827819025	4.765534746	3.857980995	9.292781749	6.161887682	6.059614856	6.483815777	7.493455201	4.161887682	7.388878339	2.867896464	4.817623258	7.576673293	4.145677455	6.008988783	4.300123725	4.061776198	9.404715827	4.776103988	6.987548259	4.270528942	6.46760555	4.560714954	8.019034669	6.259272487	7.01346226	6.037821465	6.528258743	6.257387843	6.257387843	6.23457796	4.744161096	7.510170751	8.54225805	3.733354341	5.270528942	5.623515741	8.142617655	4.452858965	7.697662633	6.21916852	4.95419631	6.780047576	7.567575869	5.388878339	6.844234988	10.19905882	5.314696526	5.022367813	8.735386783	3.722466024	7.58044702	4.321928095	6.948367232	4.66106548	7.742140985	6.669593751	4.510961919	5.725195817
A2MG	5.947198584	7.576673293	5.850499414	7.111657346	6.602884409	7.703211467	7.925999419	6.540709263	7.020146573	6.215290306	7.053111336	7.486231678	5.350497247	6.669593751	5.173926932	6.5360529	6.01346226	5.965784285	5.61176256	5.566815154	6.173926932	7.434628228	7.465974465	6.716990894	5.247927513	5.632268215	6.454504938	5.958842675	5.686500527	6.133399125	6.977279923	6.925999419	6.663913842	6.896029603	6.707359132	5.392317423	8.069852511	7.417852515	5.852997588	6.860466259	6.598424761	6.390598906	7.264911693	5.694880193	5.057450272	5.311067102	6.668175869	7.518062976	6.509379149	5.894817763	6.09592442	6.781359714	7.298291731	5.270528942	8.140574178	7.049848549	5.429615964	5.694880193	6.501439145	8.0558247	6.881419908	7.423746229	6.501439145	6.58044702	6.06608919	6.240314329	6.951867504	7.445428759	7.934280594	6.249824549	6.854245054	6.167919866	7.017921908	6.969242604	5.986410935	5.504620392	7.206526016	5.968090752	5.700439718	6.011227255	6.596935142	7.049848549	7.099084761	7.283551423	4.602884409	8.093813673	7.444600814	8.041659152	6.840463234	6.845490051	7.832890014	7.875288598	5.977279923	6.074676686	6.871597266	7.153805336	7.420381341	6.76420813	6.711494907	8.04384754	6.723831566	6.203592714	6.215290306	7.290018847	5.177917792
A4	7.126188211	6.16022735	7.38024459	6.294620749	6.608809243	5.378511623	6.093813673	6.187846909	5.94139534	6.6043679	6.345183447	3.548436625	6.935459748	4.722466024	4.944858446	7.049848549	7.695576306	5.22881869	6.387155718	5.465974465	6.549977143	6.490249211	5.919716083	5.526694846	7.90147032	5.760220946	6.533327519	6.711997375	5.40599236	7.099250617	7.007868243	4.95419631	7.437960088	6.412781525	2.632268215	7.915281866	7.470862199	5.801951915	6.151777655	6.44625623	6.301953395	7.175272421	5.599333882	7.562242424	5.786596362	6.859224162	6.614709844	6.711596453	5.977279923	8.102763097	5.817623258	5.426264755	4.632268215	6.54689446	5.395748328	6.642412773	5.253646203	6.568336182	6.14974712	4.722466024	6.135452784	4.738767837	5.66191035	7.150762744	5.635422755	5.925891003	6.659639187	6	6.32040289	6.680886921	5.40599236	6.850499414	6.559185866	5.845490051	5.993221467	5.599912842	5.941679791	6.22881869	7.233619677	6.77478706	6.499845887	4.958842675	5.416164165	7.01234519	6.352370898	6.622051819	5.053111336	3.292781749	5.602884409	6.963474124	4.129283017	5.948240632	7.530601415	5.554588852	7.537606691	7.571373436	6.578938713	6.311698842	6.777419716	6.139551352	5.411738042	6.974988112	6.548436625	5.520422249	6.00034239
ANGI	8.064473329	7.069315495	6.183883459	6.598424761	6.589463893	4.572889668	6.240314329	7.425425735	5.357552005	6.461070114	7.357552005	6.554588852	6.758889433	5.649615459	6.129283017	6.525129251	5.520422249	6.978424465	6.797012978	6.376776572	5.575917361	6	5.842978832	5.422905743	7.062855655	6.362820526	5.993221467	6.562242424	5.855491443	6.963474124	6.400879436	7.006746832	6.371558863	7.186857067	4.572889668	6.794415866	6.395748328	6.017921908	4.700439718	7.22881869	6.908092341	6.584962501	5.686500527	6.669593751	4.842978832	6.822730148	7.082149041	6.274261661	7.053111336	5.776103988	6.866660751	6.357552005	6.733354341	6.106432078	7.044394119	7.030115331	5.797012978	6.499845887	7.925999419	6.876516947	7.231701199	5.9795681	7.016808288	6.865423978	6.017921908	6.658211483	6.432959407	6.874059203	6.95070169	5.221103725	7.261154673	6.790511412	6.10433666	6.623515741	6.517275693	6.896029603	6.264911693	7.595443985	6.173926932	6.429615964	6.091699834	8.408542042	5.867896464	6.350497247	7.41869595	6.456149035	5.14974712	4.177917792	5.638073837	6.338067798	4.986410935	5.329123596	5.669593751	5.236492618	7.815063017	6.630813152	6.169925001	6.068240861	6.139551352	6.01346226	3.459431619	6.562242424	7.71630504	6.912889336	6.984133595
ANXA1	7.085339669	6.997744026	6.715618859	6.904484098	5.357552005	6.589463893	6.807354922	6.659639187	6.483815777	7.141596278	6.662490364	6.452858965	6.985272714	5.930737338	7.51412226	5.880195729	5.697662633	6.902073579	6.95070169	6.240314329	6.899659026	7.427941333	5.916476644	6.181897643	6.320123598	6.882643049	7.14974712	6.247927513	6.61176256	6.171927354	6.622051819	6.749534268	7.329123596	6.995484519	6.756222713	6.682292371	6.569855608	6.517275693	5.812498225	6.257387843	6.264911693	6.605849867	6.490249211	6.45779126	7.671717965	6.029011087	6.551516018	5.935459748	7.004501392	5.678071905	6.746850183	6.153805336	6.48058827	7.302867361	7.049848549	7.344295908	7.191799501	6.366322214	6.721099189	6.633721813	6.697662633	6.165911939	6.733354341	6.903279342	6.806066226	7.004501392	5.9795681	6.015693807	6.376776572	5.64385619	6.247927513	6.780047576	6.462706751	6.346956889	6.951867504	6.22881869	6.885086225	6.58044702	6.369815424	5.842978832	6.43629512	6.635173947	7.133399125	6.343407822	7.069315495	6.595443985	7.746178381	5.053111336	6.465974465	5.812498225	5.078951341	7.370687407	6.515699838	6.98982022	6.559185866	6.992088609	6.73470962	5.469234794	5.817623258	7.007868243	7.36018867	6.059614856	6.862947248	6.770829046	6.525129251
ANX11	6.51412226	6.493455201	7.526694846	6.682292371	4.472487771	5.906890596	6.199672345	6.95070169	7.464341533	6.329123596	5.145677455	5.937815169	6.816343705	6.145677455	7.01234519	5.638073837	6.10433666	6.718361626	6.700439718	6.221103725	6.790511412	6.948367232	5.303780748	6.307428525	6.411087227	6.037821465	6.811214118	5.730639956	6.915281866	6.48058827	6.147713722	5.786596362	6.432959407	7.183731948	7.611024797	6.197708158	6.110613806	6.255500733	6.407692649	5.388878339	6.131342539	6.131342539	6.554588852	6.371558863	7.658925511	6.161887682	6.441284272	5.581953751	6.790511412	6.592563661	6.492799399	5.778734244	7.123086751	7.338959175	6.404290064	6.346956889	6.943686952	6.300123725	6.566815154	6.754887502	6.515699838	6.242221395	6.09592442	6.526694846	6.285402219	6.891176125	6.28169825	6.055282436	5.462706751	6.357814093	6.572889668	6.100136671	5.655351829	6.21916852	6.857980995	6.783980414	6.348728154	5.885086225	6.521992956	6.469234794	6.662016792	6.543805176	6.412781525	6.894817763	7.074676686	6.087462841	6.920055055	4.321928095	6.469234794	6.702127661	4.614709844	6.581953751	7.146695948	7.416164165	6.733354341	6.824004051	6.470862199	6.837943242	6.658352718	6.478971805	6.928370323	6.632268215	6.761551232	6.193771743	6.298291731
ANXA2	6.334496768	6.266786541	6.632268215	6.729280846	5.133399125	7.01346226	6.854245054	6.699051844	6.441284272	7.004501392	6.338067798	6.548436625	7.167919866	5.937815169	7.4749227	6.556122818	6.653919873	7.116863758	6.97384084	7.681589817	6.506208389	7.23935985	6.087462841	6.607330314	6.817623258	6.270528942	7.157852169	6.493455201	6.831623937	6.327328083	6.780047576	6.675251386	6.785288981	6.427941333	6.424586226	7.103287808	6.259272487	6.321928095	6.002252452	6.301953395	6.14974712	6.772149591	6.529820947	6.46760555	7.557655155	5.270528942	6.50779464	5.44625623	6.540709263	5.663913842	6.881419908	6.383704292	6.671010241	7.417008587	7.423746229	7.628627802	7.082149041	7.444600814	6.648177796	6.419538892	7.152791852	6.343407822	6.5360529	6.6395216	7.417852515	7.168922782	6.173926932	6.137503524	6.249824549	5.694880193	6.244125943	7.94602899	7.560714954	6.729280846	7.292781749	6.976134473	6.48864354	7.14974712	6.5360529	6.141596278	6.161887682	6.744161096	7.407692649	6.61176256	6.359310317	6.891176125	6.839203788	5.44625623	6.503030646	6.371558863	4.399171094	5.048759312	6.929554316	7.503825738	6.77478706	7.575161033	5.906890596	6.325530332	5.329123596	6.813781191	6.831623937	6.348728154	6.270528942	6.565292521	6.464341533
ANXA4	6.891176125	6.598424761	7.29553937	7	6.50779464	6.17990909	7.494255587	5.993221467	6.655351829	7.248876343	6.99095486	6.167919866	7.449561375	6.330916878	7.448735798	6.632268215	6.528258743	6.906890596	6.97384084	6.414473836	7.057450272	8.211888295	6.309248961	6.636624621	6.904484098	7.248876343	6.708739041	6.554588852	6.941341105	7.21042783	7.325530332	5.392317423	7.846117173	6.98982022	6.185866545	7.499048598	6.529820947	6.565292521	6.159871337	6.338067798	5.970393538	7.307428525	6.112700133	7.06501215	7.594697827	5.602884409	6.62497818	4.887525271	6.731997787	6.827819025	6.648177796	6.645298164	7.116863758	7.392317423	6.692092375	7.687200695	7.002252452	7.032321287	6.595443985	6.026800059	6.532940288	6.378511623	6.948367232	7.641690523	6.462706751	7.332707934	6.133399125	6.478971805	5.605849867	5.608809243	6.429615964	7.118941073	6.704595348	6.266786541	7.333602628	6.842978832	6.381975479	5.909293086	7.047669251	6.616181231	5.961160258	5.680886921	6.055282436	6.383704292	7.484621527	6.510961919	6.257387843	5.961160258	6.602884409	6.217230716	4.03562391	7.917073663	7.050936965	6.977279923	5.605849867	7.181897643	6.155830172	6.803485376	5.368069877	6.880195729	7.257387843	6.766860144	7.177917792	6.957682486	6.648177796
ANXA5	6.871597266	7.053111336	6.807354922	6.935459748	5.01346226	6.998872454	6.581953751	6.441284272	6.48058827	7.181897643	7.182890893	6.874059203	7.094869433	5.897240426	7.514911265	6.894817763	5.87036472	6.99095486	6.565292521	7.495055528	6.820178962	7.405141463	6.165911939	6.545350645	6.614709844	7.270528942	7.376776572	7.576673293	7.487840034	6.840463234	6.630813152	6.813781191	6.95419631	6.46760555	6.155830172	7.200653436	6.21916852	6.592457037	6.375039431	5.925999419	6.323730338	6.909293086	6.159871337	6.325530332	8.242697768	5.87036472	6.510961919	5.321928095	6.089582893	4.329123596	6.465974465	6.181897643	6.503030646	7.100136671	7.076815597	7.540709263	7.256444596	7.096978636	6.083213368	6.139551352	6.608809243	6.131342539	6.871597266	6.730639956	7.078951341	6.82527683	5.995484519	6.053111336	5.947198584	5.646738698	6.376776572	7.854245054	6.86913112	6.21916852	6.888743249	5.995484519	6.217230716	6.820178962	6.409390936	5.539158811	6	5.99095486	7.328226119	6.002252452	7.368942914	6.236492618	6.442943496	4.711494907	5.951867504	6.008988783	4.017921908	8.932805294	6.40599236	7.004501392	6.255500733	6.100136671	5.906890596	5.399171094	5.236492618	6.6395216	7.768184325	6.498250868	6.806066226	7.252665432	6.238404739
ANXA6	7.05202456	6.586464526	7.394891366	6.656782364	4.498250868	6.6395216	6.409390936	6.03562391	7.09592442	7.17292749	7.068240861	6.829088444	7.085339669	5.956521363	7.282625134	5.749534268	6.373300197	7.056366761	6.632268215	5.807354922	6.744161096	7.226893814	6.426264755	6.51412226	6.915281866	7.484621527	6.478971805	6.083213368	7.254556252	6.249824549	6.881419908	5.381975479	6.762880293	6.75087444	6.730639956	7.36719631	5.914086097	6.521992956	5.520422249	6.121015401	6.135452784	6.723831566	5.961160258	6.862947248	7.381975479	5.746850183	6.942514505	5.083213368	6.189824559	5.307428525	6.659639187	5.995484519	7.341630009	7.478162893	6.320123598	7.034523875	7.002252452	6.703211467	6.523561956	6.074676686	6.51412226	6.155830172	7.176921112	7.326429487	6.965784285	7.375039431	5.686500527	6.477353527	5.860466259	5.285402219	6.548436625	5.722466024	6.529820947	6.456149035	6.804776378	6.512542955	6.221103725	6.093813673	6.145677455	6.283551423	6.006746832	5.008988783	6.197708158	6.523561956	7.306517445	6.341630009	6.45779126	4.655351829	6.221103725	6.431288654	4.070389328	7.809928866	6.598424761	6.523561956	6.14974712	6.645298164	5.725195817	6.28169825	6.102238194	6.62497818	6.854245054	6.346956889	6.683696454	7.203592714	6.470862199
ANXA7	6.797012978	6.46760555	7.716990894	6.723831566	5.129283017	5.736063628	6.207502459	6.355791547	7.416164165	6.416164165	5.177917792	6.181897643	6.874059203	6.029011087	7.01234519	5.121015401	6.292781749	6.733354341	6.671010241	6.177917792	6.575917361	7.005624549	5.658211483	6.217230716	6.518849829	6.085339669	6.744161096	5.469234794	7.466790238	6.581953751	6.024585638	5.686500527	6.638073837	7.608809243	6.820178962	6.893604905	5.87774425	6.427941333	7.080018029	6.040015679	5.837943242	6.402585758	6.359310317	6.601399391	7.483815777	6.057450272	6.608809243	5.714245518	6.87897051	6.185866545	6.108524457	5.791814071	6.933100475	7.05202456	6.708739041	6.563768278	6.785288981	6.456149035	6.414473836	7.033423002	6.528258743	6.669593751	6.040015679	6.532940288	6.578938713	7.124121312	5.635173947	6.277984747	5.395748328	5.776103988	6.577428828	5.078951341	5.672425342	6.48058827	6.904484098	6.649615459	6.203592714	6.029011087	6.419538892	6.601399391	7.158862106	6.412781525	6.185866545	6.905687849	7.474111514	6.373300197	6.937815169	4.672425342	6.512542955	6.193771743	3.584962501	6.737416366	6.707359132	7.617651119	6.687900522	7.478971805	5.83541884	6.656782364	6.984133595	6.532940288	7.006746832	6.617651119	5.942514505	6.495055528	6.581953751
SLPI	8.318768743	6.399171094	6.957682486	6.543805176	5.768184325	6.683696454	5.802193217	7.48058827	6.211401637	5.602884409	7.454504938	5.757556689	5.892391026	6.029011087	6.390598906	5.956521363	5.364572432	6.037821465	6.592457037	6.015693807	4.560714954	5.797012978	6.006746832	5.459431619	6.737416366	6.419538892	4.977279923	6.456149035	4.94016675	6.803485376	6.574404309	6.857980995	6.399171094	7.375039431	4.224966365	6.244125943	6.246027981	6.402585758	4.689299161	7.941927925	6.729280846	6.330916878	5.392317423	7.027905997	5.329123596	6.589463893	7.09592442	5.817623258	5.599912842	6.616181231	6.472487771	7.395748328	6.811214118	7.12722055	6.955359305	7.024585638	5.392317423	6.392317423	7.791162889	7.470862199	7.525912261	5.705977902	7.214319121	6.887525271	5.44625623	6.584962501	5.923624611	6.429615964	6.928370323	5.141596278	7.328226119	5.395748328	5.560714954	6.947198584	7.340740281	7.022367813	6.411087227	6.264911693	6.300123725	7.161887682	5.596935142	7.511752654	4.949534933	6.924812504	6.995484519	6.802193217	4.008988783	4.972692654	5.277984747	5.867896464	3.608809243	6.266786541	5.887525271	5.392317423	7.513332824	6.17990909	4.62058641	6.163901214	5.686500527	5.689299161	5.809928866	6.893604905	6.729280846	6.266786541	7.443772393
ANT3	7.174925683	6.804776378	6.927185358	6.888743249	7.259272487	6.48703608	7.725195817	7.115823977	6.249824549	7.195741293	7.277054876	6.320123598	7.207502459	6.694880193	6.566815154	6.718361626	7.177917792	6.400879436	6.902073579	6.022367813	6.395748328	6.517275693	7.635899466	7.222070355	6.716990894	6.782670659	6.285402219	7.196725061	5.584962501	7.06608919	6.461070114	6.236492618	6.978424465	7.302867361	7.010108453	6.820178962	7.927777962	7.220136447	7.215290306	7.323730338	6.799605422	6.821455119	6.673839056	7.188836073	5.95419631	6.923624611	7.032321287	7.571373436	6.454504938	7.971543554	6.715618859	7.266786541	6.64096791	7.099084761	5.815063017	7.048759312	6.022367813	6.087462841	7.539934245	5.738767837	6.483815777	6.263034406	6.593951284	7.541483864	5.193771743	6.215290306	6.642412773	7.011227255	6.390598906	7.425425735	6.845490051	7.178913785	6.875288598	6.434628228	6.504620392	6.770829046	6.557655155	7.170926525	6.850499414	8.098032083	6.240314329	6.826548487	6.251719093	6.966937979	5.66106548	7.257387843	6.995484519	6.395748328	6.915281866	6.30560579	6.807354922	7.296457407	7.151777655	5.675251386	6.539158811	7.825912799	6.424586226	6.729280846	6.920055055	6.421223299	5.459431619	7.0725346	6.518849829	6.414473836	6.820178962
APOA1	5.736063628	6.829088444	6.441284272	6.799605422	7.849248703	6.951867504	7.517275693	6.888743249	4.44625623	7.090641752	6.321928095	6.397460726	6.474111514	7.434628228	6.97384084	6.575917361	6.772149591	5.99095486	6.226893814	4.977279923	6.153805336	7.948367232	7.763544364	7.375908263	6.10433666	6.133399125	5.303780748	5.426264755	5.004501392	6.108524457	6.98982022	6.006746832	8.096978636	4.678071905	7.77807713	6.364572432	8.194756854	7.398316163	5.794415866	7.713558356	7.715618859	6.462706751	6.9795681	6.648177796	5.972692654	6.76420813	7.167919866	6.388878339	5.141596278	9.77626852	6.663913842	7.148730779	6.902073579	6.658211483	5.545350645	6.917670434	6.083213368	5.812498225	6.10433666	6.147713722	5.746850183	6.296457407	6.147713722	9.425425735	5.658211483	6.026800059	6.563768278	6.937815169	6.971543554	7.21042783	6.442943496	5.972692654	6.592457037	6.613236955	5.977279923	6.953032377	8.026800059	6.902073579	6.578938713	7.263034406	5.189824559	6.653919873	6.063934306	7.292781749	4.770829046	7.611024797	6.781359714	7.699051844	7.815063017	6.642412773	7.797012978	7.260213887	6.686500527	5.321928095	5.925999419	7.882031608	6.54689446	6.147713722	6.714245518	7.754887502	7.242221395	6.64385619	6.050936965	5.822730148	6.62935662
APOA2	5.770829046	7.160879862	5.100136671	6.994353437	6.672425342	8.166916252	6.908092341	6.97384084	5.689299161	6.678071905	7.483815777	7.456149035	5.958842675	8.194756854	7.428778891	6.224966365	6.437960088	6.48058827	6.373300197	5.8899602	6.189824559	7.435461914	8.319220503	7.731997787	5.933100475	7.068240861	5.584962501	5.865423978	5.860466259	6.557655155	6.95070169	6.242221395	6.806066226	6.070389328	7.306517445	6.285402219	8.031218731	8.278914019	6.9795681	6.99095486	6.554588852	7.10433666	7.078951341	6.812498225	6.169925001	7.38024459	7.785942819	6.411087227	6.501439145	7.238404739	7.071462363	7.967514481	7.610286657	6.078951341	5.646738698	6.891176125	6.772149591	6.399171094	6.320123598	6.28169825	6.608809243	7.022367813	7.546122759	7.365447589	5.947198584	6.171927354	6.472487771	7.593951284	7.370687407	7.599168993	7.376776572	6.185866545	6.320123598	7.20261362	6.371558863	6.419538892	7.93191939	6.8008999	7.415319248	6.806066226	6.002252452	6.696272084	6.361066489	6.900866808	4.459431619	7.229780167	7.451211112	8.374604819	7.915281866	6.847996907	8.316055209	8.195741293	5.970393538	6.213347282	5.357552005	7.273329387	6.417852515	6.9795681	6.14974712	7.798309782	7.735386783	6.929554316	6.601399391	6.685099172	6.849248703
APOA4	6.675251386	5.930737338	6.575917361	7.507001733	7.942514505	6.62058641	7.770829046	7.074676686	4.378511623	6.560714954	6.689299161	5.523561956	7.347842794	6.976134473	6.601399391	7.024585638	8.319220503	6.789207575	6.818901676	5.329123596	6.723831566	7.193771743	7.17292749	6.626439137	6.786596362	6.046578367	6.325530332	5.8899602	5.300123725	7.125155131	6.834154981	6.359310317	7.592457037	6.955359305	7.183883459	7.251719093	7.616181231	7.206526016	6.82527683	7.928370323	7.435461914	7.236492618	6.676662335	6.962317655	5.845490051	6.613236955	7.240314329	7.635899466	5.292781749	8.786596362	6.5360529	6.943686952	6.203592714	7.001126665	5.678071905	7.478971805	5.10433666	6.506208389	6.948367232	7.01234519	6.266786541	6.078951341	6.274261661	8.746850183	5.116863758	6.849248703	6.215290306	7.044394119	6.607330314	7.264911693	7.132371199	6.632268215	7.340740281	6.769507291	6.854245054	6.523561956	6.804776378	7.785942819	7.102238194	7.379378367	5.121015401	7.200653436	5.716990894	6.811214118	5.456149035	7.205548911	6.30560579	6.956521363	6.699051844	6.215290306	7.301953395	6.972692654	7.450386479	5.285402219	6.569855608	7.758889433	6.61176256	6.491853096	5.520422249	6.686500527	6.123086751	6.712870868	6.966937979	6.083213368	7.152791852
APOB	5.569855608	6.261154673	5.694880193	6.020146573	6.662490364	6.024585638	7.089582893	7.997179481	5.944858446	7.171927354	5.8899602	6.474111514	5.584962501	6.412781525	5.852997588	6.059614856	6.740118043	6.474111514	6.070389328	4.683696454	5.329123596	6.525129251	7.093813673	6.343407822	5.578938713	5.768184325	6.76420813	5.378511623	6.831623937	6.369815424	6.617651119	7.043300754	7.540709263	5.705977902	9.866969778	5.738767837	7.822092774	5.815063017	6.224966365	6.015693807	7.033423002	6.290940402	8.273795599	5.635173947	5.361066489	6.087462841	6.055282436	6.323730338	7.200653436	8.220620167	7.041111535	6.655351829	6.687900522	6.183883459	7.445428759	6.116863758	5.977279923	5.773468928	6.037821465	9.554780687	6.093813673	6.165911939	6.029011087	7.46515823	6.28169825	6.434628228	7.378511623	6.540709263	7.225930411	6.605849867	6.543805176	4.638073837	6.215290306	6.002252452	6.773468928	5.686500527	7.237448996	6.568336182	6.692092375	7.223036338	8.58345891	7.840463234	6.537606691	7.257387843	5.09592442	6.86913112	7.837943242	7.492654371	7.008988783	6.274261661	7.386293635	6.338067798	6.236492618	6.891176125	6.368069877	6.528258743	6.839203788	6.737416366	7.316507819	6.73470962	5.581953751	6.532940288	6.529820947	6.175923742	5.350497247
APOC1	6.596935142	7.022367813	6.385431037	6.498250868	6.95419631	6.259272487	6.676662335	6.330916878	4.638073837	7.016808288	6.46760555	5.554588852	6.125155131	8.314243347	5.984133595	6.965784285	7.704595348	6.03562391	6.215290306	4.812498225	7.069315495	7.343407822	6.782670659	6.376776572	6.816343705	5.465974465	5.314696526	5.388878339	4.649615459	7.884475819	6.834154981	6.151777655	7.109569509	5.918863237	7.607330314	7.147713722	7.238404739	6.400879436	6.850499414	7.557655155	6.740118043	7.131342539	6.965784285	6.683696454	5.392317423	7.766860144	7.184875343	5.716990894	6.169925001	7.725195817	6.341630009	7.937226674	7.242221395	7.318316841	6.100136671	7.810571635	5.357552005	5.797012978	6.311067102	6.06608919	7.040015679	6.504620392	5.64385619	7.412781525	5.791814071	6.426264755	5.963474124	6.469234794	6.395748328	6.197708158	7.186857067	5.765534746	5.977279923	7.122051448	5.669593751	6.395748328	6.727920455	7.20261362	7.212374788	7.214319121	6.346956889	5.925999419	6.888743249	6.99095486	5.277984747	8.033423002	7.424586226	7.427103287	8.261154673	8.277984747	8.093285504	6.279842694	7.273329387	5.738767837	5.040015679	6.22881869	7.03562391	7.445428759	7.572131751	6.757556689	5.655351829	8.142107057	7.379378367	6.249824549	6.475733431
APOC2	6.399171094	6.855491443	4.802193217	6.261154673	6.722466024	7.490249211	5.617651119	6.055282436	6.002252452	5.478971805	6.22881869	7.34251919	6.362820526	10.05920924	5.217230716	5.587964989	8.456149035	5.205548911	6.006746832	6.316507819	6.961160258	5.87036472	6.498250868	6.199672345	5.909293086	5.672425342	7.107478647	6.327328083	5.581953751	7.918863237	7.45532722	6.723831566	5.993221467	7.154818109	6.383704292	6.76420813	5.804776378	6.129283017	7.490249211	5.997744026	4.882643049	6.930737338	6.559185866	6.680886921	5.247927513	8.53954658	6.782670659	5.28169825	5.221103725	7.044394119	6.163901214	8.93516505	6.361066489	6.852997588	5.177917792	8.087993146	5.827819025	6.089582893	5.663913842	4.882643049	7.585713709	5.933100475	5.786596362	7.793765857	5.852997588	6.279842694	6.307428525	5.232660757	5.590961241	5.649615459	7.422905743	6.968090752	5.909293086	7.48058827	6.447909749	5.930737338	6.063934306	7.297374861	7.460251099	6.994353437	6.966937979	5.736063628	6.970393538	7.182890893	5.247927513	8.224966365	6.272396509	8.480992104	9.961160258	7.882031608	8.323730338	7.377644358	6.933100475	5.680886921	5.817623258	6.407692649	2.963474124	7.388878339	4.666756592	6.809928866	5.652486495	8.008988783	6.475733431	6.108524457	6.048759312
APOC3	6.685099172	6.693486957	6.657650753	5.569855608	6.264911693	6.394033895	6.249824549	5.937815169	5.240314329	5.266786541	5.87036472	5.672425342	6.587964989	10.15215806	5.786596362	7.352635403	9.046305516	5.752213368	6.006746832	5.9795681	7.386293635	5.635173947	6.263034406	6.362820526	7.448191063	5.799605422	6.343407822	6.232660757	5.03562391	8.317864798	8.391887985	5.277984747	6.568336182	5.277984747	5.449561375	5.993221467	5.765534746	6.131342539	6.368069877	6.307428525	4.817623258	7.599912842	6.289096702	6.97384084	5.181897643	8.944565661	6.470862199	5.409390936	6.536434314	6.840463234	6.6043679	9.231701199	5.736063628	7.136478518	5.572889668	7.740118043	6.161887682	5.375039431	5.942514505	3.432959407	7.319220503	4.626439137	5.429615964	6.531381461	5.232660757	6.540709263	5.5360529	5.768184325	5.205548911	5.791814071	6.807354922	6.008988783	6.549977143	6.449561375	5.277984747	5.263034406	5.529820947	7.061776198	7.659639187	7.109569509	4.842978832	5.663913842	6.017921908	6.339850003	5.456149035	8.236014192	6.085339669	8.324180547	8.883254231	7.847996907	7.526694846	6.571373436	6.776103988	3.827819025	5.754887502	6.137503524	5.581779214	7.142617655	4.247927513	6.818901676	7.224001674	9.102763097	7.259272487	5.738767837	6.350497247
