	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
SERPINA5	9.28354207	9.120668767	7.323294185	8.91873155	7.563444234	8.567252953	8.371721684	8.624187227	8.30774	8.62606	8.905376139	9.466316176	11.06307869	8.131005195	8.498916476	8.78825957	8.031628377	8.628263689	8.687618852	8.321191684	8.151864107	8.634128934	7.773767379	9.229683689	8.735798767	8.372406266	7.83087	8.472501268	9.118353093	8.777417499	7.951333754	8.7594	9.051128688	8.507286476	8.806440581	8.808480581	8.738586139	8.89471155	8.876045663	8.170330672	7.485381905	8.510850848	9.234037338	8.2109	9.266512759	8.861397379	7.85855207	8.620220581	8.158728934	9.020177379	8.657606476	8.42683147	9.124381733	8.481787227	8.676163093	8.61419147	9.346693349	7.908256176	8.550451905	8.173555663	7.170486999	8.34856	8.51652147	9.159655254	8.641501268	8.765133689	7.3221	6.272235254	8.581371503	8.458818852	8.09101	9.100158688	8.482046472	8.456638852	8.586257338
FCGR3B	3.08056207	4.398418767	1.753324185	4.28190155	6.019694234	6.551742953	3.725581684	5.349057227	4.65067	3.67885	5.674776139	5.899036176	8.273378688	3.940435195	3.140346476	5.65789957	5.740358377	5.787033689	3.307128852	3.855341684	4.553504107	4.912118934	2.628877379	3.760883689	4.098768767	4.594366266	2.36947	4.185651268	4.495743093	3.059857499	5.235243754	3.38538	6.165108688	2.912626476	4.511960581	6.045820581	5.676456139	4.73546155	4.270275663	4.831330672	5.200601905	4.452990848	4.842397338	2.70415	5.297522759	3.962537379	4.56432207	4.169350581	5.612728934	5.798907379	3.201426476	4.35646147	3.852871733	4.334707227	3.799853093	3.90062147	4.754203349	4.445866176	6.011141905	2.928225663	1.219696999	4.14945	5.21255147	6.378215254	4.909161268	4.354493689	3.60693	1.067315254	5.175761503	6.011348852	2.40724	6.691918688	3.980016472	3.979428852	3.716817338
IGFBP6	9.07856207	9.408828767	6.141404185	8.01791155	7.213604234	7.234172953	7.500491684	8.013497227	6.75379	9.24918	7.838606139	9.000346176	10.83985869	7.926405195	5.332856476	9.18691957	7.194068377	7.537843689	6.568878852	8.740211684	7.009164107	6.392988934	5.943027379	6.398403689	8.199508767	7.791726266	5.7103	8.467551268	5.190673093	7.850477499	5.912743754	7.59104	8.413858688	6.706206476	7.832820581	7.840970581	6.587476139	7.50737155	7.636105663	6.931970672	6.566801905	6.651340848	8.098497338	6.85634	7.555462759	8.284657379	4.55403207	7.678050581	7.043038934	8.524267379	6.041406476	8.17581147	7.069701733	8.135707227	6.693253093	8.34233147	8.391553349	6.604576176	7.449181905	5.534835663	4.658946999	7.21253	5.77974147	7.766025254	6.235641268	5.929163689	6.91574	5.732155254	7.065241503	7.732538852	5.57304	8.696998688	6.424116472	8.333298852	7.952057338
CDH1	4.06540207	4.436758767	4.042564185	4.68714155	4.684024234	4.356502953	3.897891684	4.189477227	4.2858	3.36271	4.345326139	5.361386176	7.271158688	3.928285195	5.436586476	5.05740957	3.721558377	4.813293689	4.853268852	3.308811684	3.840654107	3.825478934	3.948777379	5.126783689	4.551018767	3.391646266	4.18691	4.262231268	4.446543093	4.633497499	4.041283754	4.06589	4.715008688	3.496276476	3.705930581	5.308890581	3.941716139	4.34839155	4.047585663	4.155880672	4.352681905	3.846870848	4.723697338	4.02197	4.008362759	4.307387379	3.90672207	4.218490581	4.273308934	4.815997379	3.033566476	3.79718147	3.689371733	3.150477227	3.020093093	3.35225147	4.304283349	4.341836176	4.194881905	3.281825663	3.176606999	3.61212	4.41237147	5.508945254	3.707341268	3.416683689	4.7272	4.775865254	4.398061503	4.544638852	3.64155	6.488328688	3.217226472	3.376648852	4.149317338
CCL5	7.20195207	9.973978767	9.014794185	7.95326155	9.534924234	8.475112953	8.378121684	9.500277227	7.89679	6.68367	7.933606139	9.436486176	10.76965869	8.258725195	9.130596476	8.44161957	8.981638377	8.689053689	9.189608852	7.016381684	8.362804107	9.238648934	7.277097379	8.814093689	8.148438767	8.450686266	7.68654	7.954321268	9.352833093	9.420767499	9.345393754	8.60716	9.611398688	7.082216476	7.601200581	7.553320581	7.775296139	8.09793155	8.254605663	8.547990672	8.659931905	8.175240848	8.914077338	7.50828	9.651562759	8.510067379	9.20665207	9.367620581	9.749818934	8.424137379	8.174976476	8.13521147	9.239281733	7.692677227	8.420703093	8.06366147	8.756013349	7.524306176	8.072111905	7.854515663	8.181226999	8.44117	9.03734147	8.319405254	8.781311268	9.809573689	7.82152	6.894925254	9.094351503	8.174578852	9.78666	8.299848688	8.280166472	8.092418852	7.083737338
CCL14	12.20150207	11.72215877	9.179254185	11.44229155	11.49170423	10.79997295	10.87658168	9.546787227	10.67021	11.3224	11.29066614	11.77444618	13.54418869	10.82981519	10.34360648	11.21239957	10.62180838	11.25741369	10.74842885	10.90200168	10.59389411	10.56921893	9.725357379	10.55852369	11.27745877	10.79368627	9.50026	10.97975127	9.884833093	11.5263675	10.46789375	11.02615	11.17102869	10.45851648	11.28326058	11.34560058	10.92292614	11.26503155	11.06943566	11.05909067	11.00128191	10.89379085	11.25606734	11.3289	11.47460276	11.36928738	10.31557207	10.87539058	10.80253893	11.48002738	10.70534648	10.69866147	10.54876173	11.11297723	11.07663309	11.03485147	11.37318335	11.04245618	10.98678191	10.47925566	9.880106999	11.13906	10.82040147	11.65079525	9.884961268	11.15319369	9.47609	10.05020525	10.8857415	10.97916885	10.64882	11.08664869	11.03962647	10.87839885	11.24382734
GNLY	9.99781207	9.604298767	9.715724185	10.39006155	9.963474234	9.970822953	8.785681684	10.38198723	10.64585	8.91171	10.17491614	9.735546176	12.39157869	9.155845195	10.05338648	10.81028957	9.518688377	9.135543689	10.54539885	10.60098168	8.715894107	9.566048934	9.747137379	10.29074369	10.80127877	10.60855627	9.26669	10.48836127	10.11515309	9.935287499	10.67786375	9.52368	10.27491869	10.64446648	10.06703058	9.850930581	10.14377614	9.94554155	9.521645663	12.29531067	9.452741905	9.746450848	11.31979734	9.08857	11.42595276	10.89760738	9.62441207	10.20158058	9.559528934	10.05649738	10.28869648	8.83026147	12.13937173	10.11713723	10.49587309	10.32432147	11.14967335	7.950606176	9.969071905	10.52177566	8.045156999	9.9674	11.90748147	10.16248525	10.29860127	10.26348369	7.52875	7.642995254	10.1500615	10.08982885	9.07894	10.02932869	10.08252647	10.19175885	9.838087338
NOTCH1	3.41473207	4.438828767	3.078714185	3.53289155	3.165564234	4.986642953	2.448891684	4.001507227	3.60276	3.23537	4.675626139	5.076486176	6.848208688	3.369905195	3.369936476	5.03559957	4.074828377	4.418033689	3.241378852	3.188081684	2.587124107	4.024208934	2.462867379	4.223023689	3.618008767	4.256036266	2.68061	2.754671268	3.771393093	2.614697499	3.655203754	3.3314	5.530398688	2.928496476	3.791700581	3.466080581	3.581786139	3.81401155	3.385015663	4.183650672	3.260561905	3.869520848	4.569937338	2.06626	4.317102759	3.019207379	3.64844207	3.578060581	2.747958934	3.377087379	2.876886476	3.61064147	4.189851733	3.591727227	3.479593093	3.29681147	4.725533349	1.700216176	4.556881905	3.380795663	3.237106999	3.45448	4.24848147	4.267095254	3.881611268	4.137063689	2.31759	2.405135254	5.266031503	3.540838852	3.34787	6.157958688	3.570366472	4.107498852	3.743877338
PAM	6.48878207	6.369968767	6.413544185	5.88545155	4.595714234	5.648792953	4.590891684	3.590497227	6.85297	5.5829	4.800686139	8.075936176	8.262138688	4.500915195	6.906366476	5.90259957	3.546548377	5.450233689	9.050658852	4.569771684	3.012184107	3.885308934	2.989667379	7.384803689	7.890928767	6.089646266	6.05469	7.037231268	7.465653093	4.854637499	3.397343754	6.61407	6.336148688	3.842706476	5.811100581	4.451110581	4.034016139	4.63771155	3.981885663	5.504450672	3.356341905	3.969750848	5.150167338	5.37508	5.392272759	6.289467379	3.35155207	4.756870581	4.447838934	7.160077379	4.139666476	4.83168147	4.188551733	4.807977227	4.161633093	4.36472147	7.030193349	2.507096176	4.209631905	5.744745663	1.763426999	6.60371	4.34915147	5.585795254	4.534431268	7.406083689	3.8548	7.598655254	4.748221503	4.218438852	5.63356	7.090508688	4.663256472	4.195818852	6.152317338
PROC	7.92566207	7.171268767	6.835084185	7.26181155	7.219984234	6.907522953	6.399171684	3.204147227	7.37907	5.8132	5.688576139	8.768626176	8.618518688	6.392545195	8.298246476	5.60330957	5.087288377	6.596153689	8.436188852	6.138641684	3.940064107	5.030198934	7.242847379	9.097433689	8.123498767	7.639016266	7.80464	7.428251268	7.852203093	6.702347499	5.222513754	7.7697	5.965518688	7.899416476	7.481350581	6.624150581	5.560406139	6.16931155	7.226905663	7.266080672	4.220691905	7.541480848	5.594317338	7.51346	6.226282759	8.428997379	4.02950207	7.066940581	5.859308934	8.304047379	6.238746476	6.40859147	5.955551733	7.004747227	6.619133093	6.49433147	8.277003349	5.153276176	6.652681905	6.717265663	1.492646999	8.02324	6.70632147	7.481895254	6.838471268	7.406863689	4.56982	7.979645254	5.200421503	6.523368852	7.46487	6.352918688	7.703926472	5.263178852	7.585197338
CST3	11.39904207	11.23758877	7.736774185	10.69575155	10.99334423	10.63869295	10.32600168	9.584107227	9.6957	10.84072	10.73068614	11.44246618	12.79413869	10.10359519	9.155596476	10.93014957	9.705118377	10.77305369	9.602318852	10.42521168	9.592004107	9.947928934	8.476537379	9.490363689	10.58555877	10.25063627	8.54858	10.68022127	9.618163093	10.0953975	9.566723754	10.06932	10.53751869	9.298936476	9.749550581	10.94135058	10.41241614	10.04886155	9.994645663	9.696070672	10.00178191	10.33659085	10.58799734	10.15125	10.91169276	10.79964738	8.99470207	9.795850581	10.27218893	10.92232738	9.049416476	10.08438147	9.590901733	10.13437723	9.997783093	10.44335147	10.87075335	10.70227618	10.38278191	8.533695663	7.147146999	10.03832	10.08420147	10.85907525	9.574331268	9.682133689	10.11535	8.413665254	10.4050715	10.46163885	8.44945	10.87652869	9.515116472	10.42077885	10.19222734
NCAM1	1.92207207	2.170378767	1.307764185	1.80168155	1.408834234	2.773622953	1.482371684	3.177687227	0.76783	2.18298	2.287266139	3.491116176	4.404558688	1.099055195	1.478756476	2.36310957	0.476278377	2.798723689	1.300828852	1.467441684	0.432784107	0.444738934	0.873327379	1.969483689	1.538368767	1.154976266	0.43685	1.114771268	1.638633093	1.228647499	1.678923754	1.29756	1.825708688	0.923256476	1.529440581	1.954420581	1.382046139	1.59397155	1.525685663	1.888110672	1.277841905	1.333560848	1.554407338	0.41964	1.396142759	1.082387379	0.52622207	1.300270581	1.221898934	2.182877379	0.985766476	1.13494147	1.913331733	1.802797227	0.931413093	1.39331147	2.126223349	0.438426176	1.351261905	1.098275663	1.060916999	1.80174	1.32818147	3.621165254	1.611581268	1.329563689	1.01635	0.860525254	2.181531503	2.136748852	0.66522	3.835048688	1.019036472	1.470208852	1.190497338
PCOLCE	10.75142207	9.904188767	9.938564185	9.87597155	9.641004234	9.608032953	8.913001684	9.291987227	9.52442	9.75489	9.564246139	10.39416618	11.45223869	9.295005195	10.56647648	9.55549957	9.099718377	9.790173689	10.13867885	9.090921684	9.259884107	9.200028934	9.372787379	11.07433369	9.786548767	8.616756266	9.63716	9.238901268	10.00719309	9.892927499	8.977853754	9.5743	9.097028688	9.312966476	9.644490581	9.596370581	8.759506139	9.67372155	9.480185663	9.327960672	9.121241905	9.496200848	9.617907338	9.37123	9.690612759	9.589357379	9.34546207	9.742010581	9.342708934	9.788747379	9.566936476	9.44702147	10.24316173	9.207027227	9.409603093	9.03512147	10.19132335	8.614826176	9.253461905	9.513615663	9.199406999	9.51491	9.51908147	9.916825254	9.366531268	9.884073689	8.40547	9.958045254	8.563761503	9.289438852	9.55587	9.610118688	9.416836472	9.163878852	9.401287338
LILRB1	4.36646207	6.083288767	3.831404185	5.96102155	5.128654234	8.301592953	5.179541684	4.311867227	6.26012	4.60357	8.379936139	6.870446176	10.70538869	4.750205195	5.173756476	8.17421957	7.687728377	8.151853689	5.869788852	6.008521684	6.403814107	6.821868934	4.672057379	5.033713689	6.106798767	7.385326266	5.21025	5.217971268	5.891683093	4.249907499	6.591533754	4.97799	9.422328688	4.715736476	6.876710581	6.648470581	6.584706139	6.50279155	5.418635663	6.887520672	5.626651905	6.131770848	6.987037338	4.13525	6.870482759	4.576807379	6.47226207	6.395190581	6.037618934	5.886387379	4.670186476	6.59225147	6.115611733	6.177687227	5.656973093	6.30374147	5.980953349	3.984436176	7.839711905	4.583795663	2.420296999	5.29828	6.80081147	4.769045254	6.353081268	6.142263689	4.7418	3.485625254	8.125351503	5.270978852	5.05129	9.741558688	5.713906472	5.748128852	6.112257338
MET	0.96535207	1.953738767	0.464734185	0.98286155	1.035204234	1.736182953	0.359541684	1.759397227	0.72618	0.98451	2.143206139	2.742006176	3.510958688	0.427525195	0.895476476	1.72592957	0.112908377	1.426423689	0.0	1.107181684	-0.058855893	0.263338934	0.289587379	1.686713689	1.023308767	0.517066266	0.47498	0.779251268	1.446473093	0.884487499	0.653583754	1.07127	1.520978688	0.496816476	1.250930581	1.183760581	1.024166139	1.08454155	1.228045663	0.473010672	0.181451905	0.428080848	1.786007338	0.62765	1.398182759	1.217857379	0.42834207	1.185250581	0.827488934	1.320527379	0.439346476	0.45461147	1.064051733	0.521147227	0.404443093	0.71805147	1.923013349	0.412896176	0.948491905	0.477415663	-0.215903001	0.49148	1.04738147	1.918185254	1.018391268	0.666403689	0.55523	0.622845254	1.042051503	0.704488852	0.57327	2.628438688	0.391596472	0.687528852	1.166067338
LTBP2	8.94426207	8.875018767	8.412754185	8.67041155	7.275924234	7.967362953	7.610731684	8.115237227	8.51681	8.51071	8.384866139	9.258096176	10.59579869	8.395425195	8.662556476	8.47206957	8.072568377	8.457043689	8.471388852	8.200621684	7.972054107	8.133998934	7.246227379	9.638253689	8.571618767	7.709286266	8.35039	8.258391268	8.395443093	8.119057499	7.755143754	8.37621	8.109108688	8.002226476	8.340310581	6.985260581	7.982576139	8.57831155	8.367775663	8.174970672	7.114201905	8.355400848	8.463427338	7.30213	8.565322759	8.346677379	8.03213207	8.368160581	8.146238934	8.757857379	8.111026476	8.28181147	8.822011733	8.195277227	8.162253093	8.15430147	9.158623349	6.718436176	8.227981905	8.161925663	8.112626999	8.44521	5.68779147	8.367975254	8.112741268	8.481363689	6.32626	8.308805254	7.935491503	8.227578852	8.24246	7.962938688	8.341826472	8.080258852	8.287417338
IL7R	1.04504207	0.881668767	1.011584185	1.61242155	1.771324234	1.758392953	1.370171684	0.806497227	2.10673	0.29685	1.574516139	3.368976176	4.662188688	0.300045195	1.495436476	1.83830957	1.234988377	1.582453689	0.998538852	0.115501684	0.320554107	0.975218934	0.360047379	1.373173689	1.506238767	3.106656266	0.37859	1.078661268	1.502423093	0.890957499	2.223953754	0.51829	3.045398688	0.627616476	0.968680581	2.233500581	1.876186139	1.43932155	1.329055663	1.857390672	0.919851905	1.344060848	1.790997338	0.53691	2.662932759	2.259957379	0.88239207	1.151270581	0.553288934	2.024367379	0.938926476	0.59001147	1.746411733	0.945347227	1.471413093	1.69708147	1.503713349	1.946316176	2.059551905	0.694585663	0.0	1.32586	2.86916147	3.724385254	3.352741268	1.338913689	0.3922	0.920305254	2.476351503	2.254038852	0.65975	3.246658688	1.601036472	2.004128852	1.213117338
VCAM1	5.57141207	6.156528767	4.104254185	6.11468155	4.997654234	6.616492953	5.125951684	4.227347227	5.62844	4.09442	6.635336139	6.614756176	9.086468688	4.545905195	3.980406476	7.08524957	5.343348377	6.361403689	4.656088852	5.435741684	4.605524107	5.192558934	4.034657379	4.718283689	5.832058767	7.048926266	4.22408	5.441771268	4.950833093	4.500077499	4.994443754	5.3128	6.982738688	3.884386476	5.843030581	4.771400581	5.365866139	5.68855155	5.237515663	4.998150672	4.603401905	4.926350848	6.212567338	4.18477	5.730022759	4.993997379	5.21880207	5.267110581	4.833058934	6.800647379	5.238116476	5.78849147	5.844921733	5.010157227	5.112803093	5.39571147	5.992603349	3.700116176	5.945931905	5.159715663	2.913846999	5.10134	4.55310147	5.805045254	5.617601268	5.703303689	4.44005	3.684655254	6.315941503	5.384978852	4.75304	7.430308688	4.902956472	5.597588852	5.519677338
SELL	7.00863207	8.830918767	3.859504185	7.60643155	8.665654234	9.201342953	6.948461684	7.296357227	6.58635	8.20698	8.830936139	9.235916176	10.38764869	7.503055195	5.117306476	8.41400957	6.499348377	8.703783689	5.634088852	7.882441684	7.646954107	6.335918934	6.213347379	6.882063689	7.613668767	7.974256266	5.33615	7.643471268	6.681953093	6.649667499	7.289393754	6.98814	8.796978688	6.646836476	7.515430581	7.798310581	7.547736139	7.66269155	7.629665663	6.794480672	6.296491905	7.130570848	8.435557338	6.33834	7.294472759	7.177627379	6.07275207	6.889070581	7.563518934	9.055737379	6.241546476	6.38717147	7.308261733	7.185827227	6.334723093	7.52302147	7.826143349	6.136926176	7.219321905	5.778515663	4.254156999	6.72897	6.64779147	8.390855254	7.163921268	6.496273689	6.62681	3.425065254	7.518151503	7.656708852	5.91512	9.578608688	6.458636472	7.764468852	7.732677338
F11	8.90727207	9.329578767	6.573054185	8.75255155	8.804974234	8.696832953	8.389231684	8.365257227	8.7149	8.90611	9.035486139	9.797936176	11.10227869	8.624325195	8.084586476	9.10899957	8.469218377	9.042683689	8.392588852	8.765341684	8.389944107	8.534508934	7.532087379	9.256863689	8.659898767	7.937686266	7.54414	8.364281268	8.813473093	8.191787499	8.426763754	8.73131	8.837548688	8.318876476	8.753760581	8.974050581	8.094336139	9.02429155	8.847205663	7.857770672	7.462071905	8.419320848	9.195717338	7.80492	9.043182759	8.738767379	8.48347207	8.279330581	8.404898934	9.224037379	8.642746476	8.57344147	8.949001733	8.411337227	8.837253093	8.74116147	9.530343349	8.208866176	8.799291905	8.277145663	7.873326999	8.6273	8.37986147	9.360515254	8.411521268	8.771433689	7.08715	6.297125254	8.630971503	8.582178852	7.42023	8.947988688	8.453386472	8.770158852	8.805627338
COMP	7.78292207	10.80825877	7.818794185	10.49409155	9.125634234	8.279462953	9.957141684	9.320187227	9.98662	7.44276	9.331236139	10.47375618	12.39485869	9.823015195	9.395986476	10.62130957	8.695208377	9.597373689	8.953348852	8.325771684	8.355954107	8.891828934	7.041367379	11.24966369	10.49178877	8.830286266	7.4987	10.34525127	9.419933093	8.996167499	9.547823754	9.18633	10.36232869	7.070256476	7.879940581	9.569210581	9.409706139	9.99775155	10.49482566	8.902200672	10.12382191	9.572320848	9.605007338	7.88721	9.457992759	10.28807738	9.52498207	10.33568058	8.531218934	10.50394738	8.720866476	9.20258147	8.424631733	8.854827227	8.477273093	9.53454147	10.19697335	9.985816176	9.418851905	7.885745663	10.042067	8.60178	9.51648147	10.72835525	9.742531268	8.453523689	6.6072	9.850885254	9.669161503	9.818298852	8.86611	9.724908688	9.352806472	9.999038852	9.071077338
CA4	1.99635207	3.563258767	1.905014185	2.27260155	4.870114234	3.832042953	4.619251684	6.265647227	1.78902	1.48807	2.897386139	5.262436176	3.877478688	1.403335195	3.229626476	2.05514957	2.274648377	1.767733689	2.700158852	0.979711684	1.486134107	5.439568934	2.114567379	2.420473689	2.374968767	4.306696266	1.48248	2.732841268	4.153973093	2.097437499	5.567563754	1.86609	2.734518688	1.503216476	1.539130581	4.240340581	5.246566139	2.78490155	1.977915663	1.577570672	5.670831905	2.678200848	2.072687338	0.94368	3.162192759	3.594817379	1.32015207	1.946260581	3.745518934	2.238667379	2.507796476	0.83527147	3.012281733	1.387567227	1.840093093	2.53772147	2.644733349	4.329736176	5.050671905	2.239155663	3.029946999	2.86974	5.47649147	2.678105254	5.553221268	3.963183689	1.3608	0.971095254	2.834601503	7.665918852	2.74554	1.599608688	3.013436472	2.078978852	1.301747338
PTPRS	3.92639207	4.177648767	2.408404185	2.65126155	2.403934234	3.430612953	2.067461684	4.636927227	2.87055	3.00265	3.779226139	4.655306176	5.636148688	2.386055195	2.439546476	4.31937957	2.116978377	2.980653689	2.656978852	3.749131684	1.720764107	3.344348934	1.666587379	3.724143689	3.022058767	2.441876266	1.93967	2.562191268	2.140903093	2.545877499	1.862483754	2.91956	4.743898688	1.465706476	2.789350581	2.463310581	2.559396139	3.14013155	3.099665663	2.675470672	2.172761905	1.964790848	3.804667338	2.26572	2.722262759	2.791347379	2.31835207	2.589450581	1.660718934	3.157417379	2.375316476	2.33299147	3.338141733	2.486987227	2.738423093	2.84036147	3.981553349	1.615346176	2.712921905	2.580875663	2.509916999	2.35625	1.85940147	3.216975254	2.566321268	2.721913689	2.22014	2.308695254	3.786611503	2.189048852	2.02904	4.555378688	1.937076472	3.290478852	2.922277338
MBL2	11.65159207	11.65166877	5.686594185	10.03005155	10.53595423	11.13981295	10.20354168	9.586607227	10.15756	9.06167	12.77400614	9.412046176	12.40122869	11.49368519	9.827016476	12.60516957	10.38231838	11.09589369	10.47564885	12.05532168	7.538644107	10.97717893	10.27974738	8.551853689	9.470408767	8.043986266	10.14889	10.93196127	11.76325309	10.0008475	9.839803754	8.6292	10.03168869	10.19123648	7.928860581	12.63221058	11.23565614	7.24545155	11.28447566	8.697100672	5.651371905	11.47615085	8.754637338	9.18499	10.83969276	11.66951738	8.93901207	8.285920581	10.79311893	11.78567738	9.767656476	9.52444147	10.08626173	8.912247227	9.425363093	8.94741147	12.08443335	10.80088618	12.28589191	10.45749566	9.990256999	11.1393	10.92167147	12.47669525	10.66557127	12.06557369	9.14852	6.930805254	11.8032915	12.45002885	11.15755	12.32339869	10.53801647	10.85253885	12.10821734
TIMP1	11.07717207	9.727008767	9.526604185	10.06402155	9.008294234	8.204932953	8.692581684	9.779947227	9.24514	10.06327	9.183856139	10.57588618	10.77501869	8.792615195	10.66377648	8.77079957	8.550528377	9.294093689	10.63672885	9.370811684	8.727114107	8.959838934	9.742867379	10.66466369	8.800108767	9.089916266	9.67345	8.123891268	9.826703093	10.1337775	7.830573754	9.89064	7.924848688	9.504886476	9.852560581	8.534960581	7.743906139	8.54326155	9.730545663	9.414190672	7.540711905	9.379860848	9.841597338	9.55107	9.073052759	8.881047379	8.91418207	9.628550581	8.168328934	8.630897379	9.966546476	8.60974147	10.40216173	8.734067227	9.289393093	8.38919147	10.54174335	7.902196176	8.546081905	9.812735663	9.674276999	9.83103	9.65065147	9.766595254	9.295751268	10.11118369	9.02175	9.950295254	8.413971503	7.606378852	9.42412	9.006158688	9.694036472	8.542488852	9.204157338
ANGPTL3	2.35770207	3.407298767	0.515304185	1.69503155	2.095644234	2.878182953	0.555141684	1.357747227	1.24861	1.85224	3.350486139	3.777786176	4.260788688	0.791765195	1.817716476	3.04201957	0.540088377	1.753133689	1.227108852	1.602101684	0.990354107	1.565398934	0.751207379	1.942653689	1.823398767	2.222376266	0.79002	0.877331268	2.880743093	1.567287499	1.407533754	1.85511	2.066938688	1.151956476	1.006800581	1.798530581	0.555276139	1.55792155	2.733825663	1.089720672	0.818411905	1.301030848	2.530417338	0.63506	2.588642759	1.258337379	1.22549207	1.401850581	0.811608934	1.856127379	0.962456476	0.69770147	1.949551733	1.419527227	1.279983093	1.73445147	3.636833349	0.279476176	3.097011905	1.039595663	1.218016999	1.68608	2.36704147	2.619175254	1.732611268	2.094633689	0.62465	0.830855254	1.323671503	1.563328852	1.30294	2.185918688	1.681956472	1.793438852	2.080407338
REG3A	3.58885207	2.156838767	0.0	3.43960155	2.982274234	0.866662953	2.563541684	0.147097227	0.49546	1.56478	2.424266139	1.847956176	3.256238688	0.890705195	0.0	4.03827957	0.466718377	0.852253689	0.0	1.006631684	0.176774107	-0.234651066	0.0	0.0	0.928518767	2.850726266	0.0	2.130681268	0.0	1.198577499	0.0	0.93613	1.809478688	0.0	1.104930581	4.242150581	2.728596139	1.02904155	1.324865663	0.250070672	0.906851905	0.005180848	0.542587338	0.88978	1.029962759	0.757937379	0.0	0.736190581	0.543648934	2.080467379	0.0	0.38893147	0.867261733	0.560907227	0.187953093	1.23724147	1.323203349	5.179806176	0.939891905	0.0	-0.350803001	0.56902	0.30628147	2.887265254	0.115271268	0.472473689	0.48779	0.505815254	1.405651503	2.247748852	0.0	1.030868688	0.0	2.446908852	1.009727338
SOD1	4.70862207	3.603938767	3.650734185	4.02487155	3.797084234	3.060712953	3.320741684	3.443717227	3.66468	3.2622	3.484536139	4.527556176	5.501498688	3.374805195	2.935016476	3.59054957	3.265268377	3.859453689	3.915538852	2.841311684	3.226944107	3.129778934	3.222447379	4.855453689	3.926688767	3.303106266	3.62493	3.381161268	3.876823093	4.155997499	3.044793754	3.79279	2.985798688	3.485316476	3.900190581	3.760160581	3.498836139	3.83807155	3.632395663	3.568250672	3.529141905	3.693690848	3.835107338	3.72006	3.867152759	3.708597379	3.36604207	3.812130581	3.348718934	3.863117379	3.341986476	3.51587147	4.066451733	3.462087227	3.514543093	3.32923147	4.279193349	3.115136176	3.326951905	3.136475663	2.986466999	3.67918	3.51802147	4.117495254	3.465671268	3.835423689	3.14465	2.621715254	3.313861503	3.343198852	3.11486	2.519858688	3.316156472	3.385948852	3.636637338
CD46	7.34121207	8.397978767	7.533744185	7.71424155	6.653144234	8.679292953	7.121891684	8.435407227	7.18409	7.17097	8.779766139	8.520876176	11.15899869	7.323205195	7.506446476	8.72088957	8.956148377	8.079323689	7.707928852	7.590271684	7.479524107	8.450288934	6.076267379	7.811883689	7.495908767	8.075776266	6.49492	6.452021268	7.980523093	5.868837499	7.544713754	7.23922	9.165018688	6.368766476	7.318640581	6.444510581	7.446636139	7.10629155	6.883115663	7.745280672	7.484121905	7.598290848	8.656127338	5.86285	7.730532759	6.940307379	6.93167207	7.825140581	6.457648934	6.865627379	7.225576476	7.81201147	7.891481733	7.680617227	7.614273093	7.72408147	8.564183349	6.056196176	8.447331905	7.552195663	7.455226999	7.68494	7.90195147	6.625125254	8.123991268	7.497063689	5.84379	6.344525254	8.964131503	6.989068852	7.25512	9.620078688	7.487776472	8.196088852	7.759317338
ITGAM	2.53668207	4.704388767	3.597884185	4.88917155	4.032754234	6.067662953	6.345641684	5.886157227	4.8987	1.9122	5.940276139	5.432196176	8.645508688	3.864565195	4.856126476	6.21416957	6.123858377	5.052643689	3.838868852	2.267321684	2.725694107	6.484518934	2.038677379	3.665483689	4.970888767	4.889226266	2.62088	4.848551268	5.156663093	3.049247499	6.365683754	3.12448	7.379898688	1.815936476	4.231900581	6.522110581	6.902736139	5.30833155	3.481465663	4.414120672	5.991941905	3.663910848	5.679847338	3.30984	6.733962759	5.405247379	5.44928207	4.964730581	5.291478934	2.995597379	3.967116476	5.34028147	5.030221733	5.189717227	4.893083093	5.78753147	4.968183349	6.096246176	7.066781905	4.756825663	2.298236999	4.29044	7.46639147	4.798895254	7.051971268	5.340923689	1.55335	3.208515254	7.480751503	7.646788852	3.52472	6.709278688	5.250656472	4.951068852	5.949617338
