	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N161B	N162B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N218B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N237B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N251B	N254B	N255B	N256B	N257B	N258B	N259B	N260B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
FA12	5.040015679	6.900866808	5.956521363	7.85237345	6.582483048	6.62497818	6.270528942	5.456149035	6.549977143	6.548436625	5.447324415	6.317893921	7.071462363	5.201633861	7.727239777	4.602884409	6.880195729	6.781359714	7.471675214	8.284477118	5.926279837	6.77478706	6.151777655	5.065464974	7.289096702	6.183883459	6.741466986	5.339850003	5.672425342	5.655950262	6.341630009	5.146308189	6.10433666	4.285402219	5.646738698	5.08050283	6.14363831	5.357552005	5.794415866	4.822730148	5.03562391	3.277984747	4.121015401	6.108524457	6.6395216	6.996614715	5.956521363	4.802193217	5.757556689	5.623515741	6.276124405	5.551710187	5.845490051	4.995440072	5.652486495	6.106432078	5.972692654	6.163901214	4.263034406	5.112700133	5.491853096	6.285402219	6.496654083	5.03562391	5.62058641	8.356231863	5.409390936	5.504606218	6.540709263	6.485426827	4.958842675	6.539158811	6.432959407	5.675251386	5.993221467	6.583107073	7.222070355	5.62935662	6.091699834	5.240314329	6.770829046	6.339850003	5.581953751	5.804776378	5.64096791	5.251719093	6.100136671	5.693258444	6.123086751	5.949534933	7.134142576	5.017921908	6.320123598	5.083213368	5.473398322	5.539158811	7.511752654	8.119459934	5.947198584	5.663913842	6.276124405	5.812498225	6.131342539	3.897240426	5.50779464	3.62058641	5.937815169	6.057450272
F13A	6.022367813	7.270528942	4.807354922	7.159871337	6.464341533	6.686500527	5.887525271	6.207502459	4.584962501	7.031634242	3.765534746	7.188836073	7.637349411	5.412781525	7.061776198	6.014168873	6.183883459	6.534497434	7.321928095	5.563768278	6.793115555	6.171927354	4.95419631	5.100136671	6.350497247	6.652486495	6.419538892	6.718361626	4.944858446	5.822730148	8.057450272	5.827819025	6.063934306	6.175923742	5.935459748	6.221103725	7.288173968	5.786596362	5.736063628	6.017921908	6.397460726	5.100136671	5.578938713	6.54225805	5.224966365	7.087462841	6.54689446	5.577067508	6.956521363	6.378511623	5.5360529	7.029011087	5.605849867	6.28169825	6.970393538	6.783980414	6.163901214	7.102238194	6.470862199	6.033423002	5.9795681	6.531381461	8.255972742	5.956521363	5.942514505	5.332707934	6.83541884	6.5360529	6.548436625	5.422905743	6.0	6.51412226	6.112700133	5.572889668	7.605109074	7.276124405	6.740118043	5.692092375	5.786596362	6.330916878	6.608809243	6.663913842	5.802193217	6.083213368	4.62058641	7.610286657	6.836580979	7.083213368	6.48058827	4.649615459	5.232660757	5.593951284	6.366322214	5.988684687	6.175923742	5.381975479	8.762880293	5.121015401	6.672425342	5.357552005	5.116863758	5.963474124	6.499845887	5.812498225	6.48058827	4.078951341	4.921245889	5.669593751
F13B	4.649615459	7.593204354	5.482202926	5.658765218	8.89056829	8.62497818	5.478971805	6.572889668	5.285402219	7.583510607	4.958842675	6.583613192	7.174925683	5.089724855	7.142617655	4.883852215	6.388878339	6.695273303	7.818262608	5.928370323	5.758878353	7.726558779	5.492230546	3.666756592	6.942514505	7.854245054	5.867896464	6.272396509	6.217230716	2.981852653	6.836575512	5.830356747	5.719731057	5.935459748	6.402585758	5.951867504	6.209453366	5.449561375	6.703211467	5.804776378	5.378511623	5.572889668	5.354028938	6.470862199	6.366322214	8.158357226	3.744161096	5.470746068	5.776103988	7.236492618	5.924114985	6.506208389	6.01346226	5.409390936	5.757556689	6.23457796	6.167919866	8.195249158	5.752213368	7.094869433	4.478971805	5.95419631	5.924221963	6.259272487	5.307428525	6.837943242	6.020146573	4.626439137	7.231701199	5.730556944	5.28169825	4.911691582	6.632268215	3.0	6.031367028	6.630803605	7.376776572	3.678071905	6.296090077	5.134163063	6.703211467	6.469234794	5.429615964	5.557655155	5.626439137	8.11113567	8.83614853	6.672544576	6.960873438	5.928370323	6.865866766	5.329123596	6.411087227	7.337175869	4.927488253	6.024585638	9.914086097	5.744161096	5.153805336	5.802193217	6.242221395	5.911691582	5.263034406	4.822730148	6.30560579	1.485426827	4.749534268	5.970393538
C1QA	6.515699838	5.617651119	6.257387843	6.407692649	6.886306263	7.063934306	6.599912842	6.303780748	6.434628228	7.102238194	5.66106548	6.842978832	6.385431037	4.847996907	6.874059203	4.626439137	5.897240426	7.130313146	6.716990894	7.886306263	6.559185866	7.123086751	4.897240426	5.822730148	7.888743249	6.815063017	5.963474124	6.390598906	6.532940288	5.995484519	6.646738698	5.452858965	7.496654083	6.272396509	6.108524457	5.244125943	6.217230716	4.897240426	6.189824559	6.5360529	5.632268215	6.087462841	5.965784285	6.847996907	7.088523257	6.355791547	4.329123596	5.48864354	5.548436625	5.432959407	7.016808288	6.421223299	6.607330314	5.378511623	4.510961919	6.678071905	5.986410935	6.636624621	5.94016675	5.956521363	5.321928095	5.649615459	6.862947248	6.247927513	5.54225805	6.864186145	7.014578465	5.520422249	6.404290064	6.024585638	6.21916852	6.068240861	5.914086097	6.147713722	7.865423978	6.300123725	6.61176256	6.680886921	6.970393538	5.478971805	7.152791852	6.531381461	5.880195729	7.114783447	7.484621527	6.54225805	7.45779126	5.539158811	5.566815154	6.587964989	8.658211483	5.452858965	7.186857067	6.822730148	4.786596362	6.024585638	6.461070114	7.191799501	6.475733431	5.736063628	5.87282876	6.343407822	6.806066226	4.882643049	6.09592442	5.189824559	5.752213368	6.334496768
C1QB	6.780047576	5.993221467	6.300123725	6.354028938	7.014578465	7.076815597	6.191799501	5.947198584	6.504620392	7.116863758	5.794415866	6.837943242	6.296457407	4.649615459	6.62497818	5.017921908	6.224966365	7.248876343	6.323730338	8.267254872	6.768184325	7.403438163	5.296457407	6.098032083	7.727920455	6.601399391	6.074676686	6.427941333	6.515699838	6.332707934	6.636624621	5.485426827	7.625708843	6.031218731	6.323730338	5.255500733	6.139551352	5.733354341	6.685099172	7.048759312	5.906890596	6.666756592	6.137503524	7.22881869	6.956521363	6.663913842	4.03562391	5.862947248	5.100136671	5.173926932	7.230741003	6.371558863	6.339850003	5.590961241	5.381975479	6.923624611	6.070389328	6.375039431	6.289096702	5.974988112	5.560714954	6.017921908	7.6387979	6.587964989	5.240314329	7.544578117	7.156841525	5.581953751	6.62058641	6.050936965	5.8899602	6.551516018	6.089582893	6.345183447	7.937226674	6.364572432	6.0725346	7.070389328	7.010108453	5.303780748	6.0725346	6.840463234	6.207502459	7.257387843	7.87036472	6.765534746	7.723831566	5.852997588	5.5360529	6.5360529	8.859845344	5.716990894	7.175923742	6.840463234	5.399171094	6.008988783	7.384567923	7.507001733	6.06608919	6.257387843	5.768184325	6.350497247	6.900866808	4.921245889	6.276124405	4.958842675	5.914086097	6.592457037
C1QC	6.944858446	6.029011087	6.108524457	6.38024459	6.861707287	6.915281866	6.359310317	6.259272487	6.662490364	7.055282436	6.221103725	6.703211467	6.531381461	4.66106548	6.557655155	5.847996907	6.371558863	6.741466986	6.345183447	7.444600814	6.595443985	6.694880193	6.197708158	6.053111336	7.54225805	6.648177796	5.968090752	6.824004051	6.224966365	6.352264173	6.399171094	5.867896464	6.852997588	5.961160258	6.459431619	5.692092375	6.392317423	5.501439145	6.525129251	6.61176256	6.006746832	6.66106548	6.359310317	6.840463234	6.82527683	6.490249211	4.40599236	6.346956889	5.300123725	5.523561956	7.037821465	6.671010241	6.400879436	5.666756592	5.599912842	7.087462841	6.0725346	6.786596362	6.298291731	5.949534933	5.87282876	5.951867504	7.722466024	6.369815424	5.760220946	7.011227255	6.836681593	6.055282436	6.362820526	5.789207575	6.125155131	5.984133595	6.217230716	6.145677455	7.559950613	6.693486957	6.244125943	7.030115331	6.818901676	5.053111336	6.147713722	6.586464526	6.129283017	6.829088444	7.031218731	6.969242604	7.278914019	5.897240426	6.394033895	6.197708158	8.102238194	6.04220656	6.832890014	6.613236955	6.031218731	5.635173947	7.137503524	6.8899602	6.255500733	6.249824549	6.091699834	6.259272487	6.781359714	5.008988783	6.205548911	4.385431037	5.700439718	6.397460726
C1R	5.850499414	5.820178962	5.581953751	5.510961919	7.189824559	7.12722055	6.336283388	6.329123596	6.817623258	6.797012978	5.419538892	5.95419631	6.388878339	5.551516018	6.980710829	5.091699834	6.539158811	6.929554316	6.378511623	8.053111336	6.118941073	7.539934245	5.416164165	5.422905743	8.211401637	6.562242424	7.170926525	7.113742166	7.21042783	5.078951341	6.526694846	5.66106548	6.236492618	6.312882955	6.312882955	5.251719093	6.46760555	5.880195729	5.988684687	6.48058827	6.100136671	6.085339669	5.078951341	6.303780748	7.735386783	6.995484519	4.882643049	6.350497247	6.10433666	6.151777655	6.477353527	5.678071905	5.733354341	5.587964989	4.949534933	6.264911693	6.23457796	7.316507819	6.195741293	5.937815169	5.057450272	5.965784285	5.880195729	6.059614856	5.456149035	8.259272487	6.017921908	4.963474124	6.700439718	6.532940288	5.240314329	5.997744026	6.116863758	5.395748328	6.556122818	6.645298164	6.559185866	5.768184325	6.437960088	5.626439137	6.23457796	6.464341533	5.719731057	5.827819025	5.173926932	7.211401637	8.144658243	5.855491443	6.008988783	5.935459748	8.514911265	5.623515741	6.968090752	6.240314329	5.504620392	6.617651119	7.094869433	6.840463234	6.259272487	6.015693807	6.015693807	6.091699834	6.316507819	5.578938713	6.159871337	5.666756592	6.121015401	5.87774425
C1S	6.608809243	6.543805176	6.21916852	5.165911939	7.76420813	6.873609227	5.902073579	6.51412226	6.437656178	6.700439718	6.166119785	5.997744026	6.451211112	5.181897643	7.923624611	4.465974465	5.914086097	7.551516018	6.888028318	7.826548487	6.343407822	6.769507291	5.773468928	5.642908415	7.76420813	7.77478706	6.151777655	7.55228484	7.034523875	4.452858965	6.970393538	5.162751871	6.031218731	6.48058827	6.571373436	5.14974712	5.8899602	6.388878339	5.526694846	6.705977902	5.0	5.205548911	5.462609077	6.818901676	6.712870868	7.23935985	5.022367813	5.221103725	5.529820947	6.189824559	7.107478647	5.270528942	5.678071905	5.989640818	5.053111336	6.068240861	5.794415866	7.914086097	5.031218731	5.87036472	5.599912842	6.062146412	6.523561956	5.608809243	6.574945417	8.147204925	6.526694846	4.504620392	6.539158811	7.752213368	4.807354922	6.685099172	6.454504938	6.320123598	6.193771743	6.312882955	6.412781525	6.159871337	6.758889433	5.501439145	6.451211112	6.177917792	4.770829046	5.529820947	4.935459748	7.587964989	8.271463028	6.270528942	6.431288654	7.21916852	8.557655155	5.974988112	6.441284272	6.165911939	7.223036338	7.126188211	7.708049252	5.346956889	7.092757141	5.388878339	5.584962501	6.300123725	5.977279923	4.95419631	7.002252452	5.517275693	6.708739041	6.683696454
CO3	6.721099189	6.760220946	6.123086751	6.076815597	7.098032083	7.506208389	5.781359714	6.270528942	5.916476644	7.032321287	4.738767837	7.23457796	6.556122818	6.031218731	7.846117173	5.456149035	5.757556689	6.474111514	6.715618859	7.212374788	6.339850003	6.355791547	5.757556689	5.296457407	6.595443985	6.506208389	5.781359714	6.048759312	6.201633861	6.14363831	6.378511623	5.933100475	6.566815154	7.150762744	6.320123598	5.381975479	7.187846909	6.276124405	6.352264173	6.746850183	5.482202926	5.918863237	6.085339669	7.041111535	7.09592442	7.320123598	4.981852653	6.383704292	6.30560579	5.887525271	6.439623138	6.242221395	6.311067102	6.055282436	6.285402219	6.251719093	6.672425342	7.461888664	6.201633861	5.832890014	5.5360529	5.812498225	6.64096791	5.686500527	5.736063628	6.613236955	5.840463234	5.683696454	6.839203788	6.332707934	5.892391026	6.887525271	6.883865155	5.757556689	6.566815154	6.795715007	7.690696444	6.510961919	6.362820526	5.185866545	6.339850003	6.595443985	5.666756592	7.158862106	5.22881869	6.642412773	6.885086225	6.314696526	6.736063628	6.632268215	6.943686952	6.369815424	6.925999419	6.765534746	5.478971805	6.327328083	7.292781749	6.745506266	5.937815169	5.749534268	6.478971805	6.414473836	5.981852653	5.381975479	6.316507819	4.827819025	6.135452784	6.157852169
CO4A	6.217230716	7.01346226	6.12722055	6.569855608	7.258330473	6.343407822	6.125155131	6.490249211	5.378511623	6.862947248	5.040015679	6.809928866	6.503030646	5.904484098	8.030667136	5.318316841	5.804776378	6.022367813	6.464341533	6.77478706	6.534497434	6.587964989	5.48864354	5.935459748	6.997744026	6.240314329	6.108524457	6.361066489	6.58345891	6.022367813	6.815063017	6.114783447	5.683696454	7.416164165	6.029011087	5.897240426	7.162894799	6.905687849	5.909293086	6.346956889	5.432959407	5.725195817	6.442943496	6.521992956	7.167919866	7.260213887	5.419538892	6.110613806	6.083213368	6.087462841	6.230741003	6.633721813	6.171927354	6.394033895	5.930737338	6.211401637	6.397460726	7.140574178	5.791814071	6.325530332	5.944858446	6.133399125	6.768184325	5.738767837	6.400879436	7.057450272	5.432959407	4.887525271	6.965784285	6.924812504	5.9795681	6.399171094	6.744161096	5.988684687	6.806066226	6.139551352	7.296457407	6.110613806	6.247927513	5.153805336	6.341630009	6.651051691	5.560714954	7.392317423	5.040015679	6.203592714	6.86913112	6.350497247	6.451211112	6.741466986	7.237448996	6.712870868	7.288173968	6.786596362	5.361066489	7.199672345	8.926888964	7.238404739	6.011227255	6.087462841	6.355791547	6.549977143	6.015693807	5.590961241	6.093813673	5.416164165	5.708739041	6.03562391
CO4B	6.54225805	6.490249211	6.687900522	7.50779464	6.026800059	5.475733431	5.820178962	6.493455201	5.385431037	5.812498225	3.711494907	5.727920455	7.047669251	5.617651119	7.782670659	6.894817763	5.551516018	7.098032083	5.572889668	6.414473836	6.700439718	5.285402219	5.99095486	3.981852653	7.272396509	5.87282876	5.820178962	5.638073837	6.112700133	6.368069877	3.44625623	5.930737338	6.569712605	5.708739041	6.249824549	6.411087227	6.591590105	6.417852515	6.203592714	7.288173968	5.422905743	5.708739041	4.504620392	6.834154981	6.215290306	7.007868243	5.605849867	6.332707934	5.357552005	6.205548911	6.972692654	6.834154981	6.687900522	5.43629512	5.004501392	6.452858965	6.523561956	7.136478518	6.255500733	4.95419631	5.224966365	6.14363831	5.336283388	5.47646152	5.189824559	7.306517445	6.563768278	5.40599236	7.269594252	4.566815154	4.887525271	6.778734244	7.677367292	5.885086225	5.705977902	6.121015401	7.67030217	5.789207575	6.06608919	4.882643049	6.129283017	6.46760555	5.329123596	7.742140985	4.566815154	6.422905743	7.388017285	6.680886921	7.029011087	6.847996907	7.740792672	6.431288654	6.539542929	6.840463234	3.722466024	7.170926525	8.311975314	7.869748051	5.658211483	5.944858446	6.603408478	5.997744026	6.389012312	3.981852653	6.057450272	4.465974465	5.587964989	6.125155131
CO5	6.114783447	6.756222713	6.201633861	6.532940288	6.741466986	6.464341533	6.414473836	5.786596362	5.918863237	6.965784285	5.749534268	7.289096702	6.520422249	6.240314329	6.517275693	5.526694846	6.531381461	6.223036338	6.276124405	7.873444113	5.880195729	6.085339669	5.221103725	5.827819025	7.438791853	7.58345891	7.67030217	6.678071905	6.560714954	5.357552005	6.277984747	6.375039431	6.50779464	5.925999419	5.897240426	5.385431037	6.06608919	6.078951341	5.928370323	6.746850183	5.722466024	6.078951341	6.549977143	6.173926932	6.875288598	6.171927354	4.070389328	7.204571144	6.48864354	5.523561956	6.675251386	6.746850183	5.554588852	5.449561375	4.554588852	7.196725061	6.059614856	6.424586226	6.77478706	5.683696454	4.678071905	5.491853096	6.029011087	6.116863758	6.221103725	7.863566829	6.026800059	4.426264755	6.263034406	5.904484098	5.575917361	5.590961241	6.636624621	5.5360529	7.382840144	6.912889336	7.389738879	6.026800059	6.994353437	5.300123725	6.30560579	7.259272487	5.949534933	6.294620749	4.882643049	6.58345891	7.166916252	6.12722055	6.444600814	6.285402219	8.043300754	5.617651119	7.301953395	6.993221467	4.986410935	7.089582893	8.068778278	7.873444113	5.169925001	6.055282436	5.587964989	6.116863758	6.456149035	5.368069877	5.678071905	5.385431037	6.699051844	6.589463893
CO6	6.307428525	6.402585758	6.498250868	5.963474124	7.352264173	5.765534746	5.914086097	6.498250868	6.133399125	6.875288598	4.972692654	7.005624549	6.217230716	5.678071905	6.658211483	5.392317423	6.110613806	7.121015401	7.122051448	7.51412226	7.01346226	6.285402219	5.232660757	6.015693807	7.123086751	7.161887682	7.102238194	6.017921908	5.705977902	5.078951341	6.318316841	5.855491443	7.40173285	6.121015401	5.760220946	5.478971805	7.207502459	5.596935142	5.827819025	7.09592442	6.373300197	6.147713722	5.584962501	6.673839056	6.590961241	5.852997588	4.161887682	7.220136447	6.678071905	5.914086097	6.857980995	7.010108453	5.663913842	5.781359714	4.485426827	6.820178962	6.506208389	6.854245054	7.424586226	5.240314329	4.419538892	5.768184325	6.024585638	5.845490051	5.51412226	7.464341533	5.746850183	3.906890596	6.672425342	5.255500733	5.357552005	6.385431037	6.543805176	5.270528942	7.885086225	6.722466024	7.196725061	6.539158811	6.518849829	5.141596278	6.431288654	7.133399125	5.817623258	6.875288598	4.472487771	6.62058641	7.04220656	6.024585638	6.316507819	7.740118043	7.674545394	6.135452784	7.193771743	6.961160258	4.902073579	6.50779464	7.857980995	7.577428828	5.057450272	6.046578367	5.510961919	6.395748328	6.633721813	5.259272487	5.749534268	5.141596278	5.711494907	6.362820526
CO7	5.968090752	6.002252452	6.601399391	6.287250643	7.047669251	5.947198584	5.995484519	6.421223299	5.968090752	6.8008999	5.0	6.676662335	6.217230716	5.974988112	6.623515741	5.209453366	6.232660757	6.221103725	6.839203788	7.829088444	6.309248961	6.493455201	5.070389328	5.705977902	7.409390936	7.553053253	7.189824559	6.714245518	6.004501392	5.157852169	5.416164165	5.663913842	7.30103885	6.193771743	6.070389328	5.749534268	7.313790025	5.812498225	5.997744026	6.964629667	5.827819025	5.916476644	6.161887682	6.809928866	7.224966365	6.133399125	4.906890596	6.891176125	6.147713722	5.5360529	5.8899602	6.543805176	5.587964989	5.285402219	5.185866545	6.723831566	5.904484098	6.574404309	7.05202456	5.904484098	5.274261661	5.551516018	5.995484519	6.167919866	5.28169825	7.532161085	5.599912842	4.277984747	6.525129251	5.64096791	5.569855608	6.232660757	6.83541884	5.99095486	7.534497434	6.167919866	6.923624611	6.106432078	6.116863758	5.083213368	6.483815777	6.961160258	5.590961241	6.6794801	5.0	6.449561375	7.555356039	5.548436625	5.501439145	7.664625055	7.775445674	6.137503524	7.77939106	6.703211467	5.209453366	6.207502459	8.153805336	7.955940451	5.307428525	6.022367813	6.004501392	6.199672345	6.314696526	5.416164165	5.802193217	5.375039431	5.776103988	6.266786541
CO8A	6.459431619	5.64385619	6.230741003	5.845490051	6.469234794	6.605849867	5.892391026	6.048759312	5.993221467	6.711494907	5.548436625	7.163901214	6.666756592	5.923624611	6.816343705	5.426264755	6.378511623	6.346956889	6.093813673	7.887525271	6.910492832	6.442943496	5.614709844	5.361066489	7.646018611	7.192785959	7.824640581	6.373300197	6.387155718	5.472487771	5.608809243	5.61176256	6.881419908	6.091699834	6.296457407	5.350497247	7.030115331	5.773468928	5.988684687	6.867896464	5.578938713	5.947198584	5.897240426	6.515699838	7.511752654	6.17990909	4.399171094	6.399171094	5.694880193	5.240314329	6.272396509	5.725195817	5.972692654	5.145677455	4.590961241	7.483815777	5.87282876	6.58345891	6.357552005	5.632268215	4.744161096	5.783980414	6.307428525	6.255500733	5.842978832	7.432959407	5.760220946	4.070389328	6.48864354	6.165911939	5.532940288	5.963474124	6.215290306	5.897240426	7.01234519	6.671010241	6.949534933	6.332707934	6.485426827	5.244125943	6.238404739	6.769507291	5.716990894	6.608809243	4.566815154	6.320123598	6.986410935	6.290940402	5.725195817	6.504620392	7.337175869	6.416164165	7.563768278	6.464341533	6.068240861	6.155830172	8.219652565	7.770829046	5.581953751	6.177917792	6.598424761	6.10433666	6.395748328	5.569855608	5.504620392	5.303780748	6.290940402	6.145677455
