	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N230B	N232B	N233B	N234B	N235B	N237B	N238B	N240B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N257B	N258B	N259B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
A2AP	6.366322214	5.031218731	6.061776198	4.62058641	5.381975479	8.11113567	7.105384749	5.209453366	5.614709844	4.263034406	6.529820947	3.472487771	6.672425342	7.117902789	5.605849867	7.112700133	5.432959407	4.847996907	6.14974712	7.673132372	6.14363831	5.03562391	5.958842675	6.680886921	8.680535344	4.911691582	5.43629512	6.794415866	4.822730148	6.381975479	5.855491443	5.981852653	5.472487771	6.429615964	5.375039431	7.279842694	5.409390936	5.87036472	5.9795681	4.385431037	4.770829046	4.321928095	5.686500527	5.95419631	6.554588852	5.845490051	5.949534933	6.246027981	6.822730148	6.632268215	5.746850183	5.392317423	5.485426827	6.716990894	6.266786541	5.658211483	8.91318862	5.318316841	5.727920455	4.572889668	5.949534933	5.817623258	5.224966365	6.575917361	5.121015401	5.285402219	7.008988783	6.232660757	5.09592442	5.321928095	6.055282436	5.378511623	5.548436625	6.108524457	7.069315495	6.409390936	5.426264755	5.678071905	4.321928095	5.193771743	3.232660757	6.520422249	6.961160258	5.608809243	6.050936965	4.638073837	4.882643049	5.752213368	5.9795681	4.399171094	5.289096702	7.511752654	6.123086751	5.289096702	5.545350645	5.472487771	5.070389328	4.529820947	5.364572432	4.247927513	5.221103725	5.569855608
FETUA	6.705977902	7.994919089	3.472487771	7.732676223	5.539158811	5.044394119	4.791814071	5.137503524	5.247927513	4.209453366	6.364572432	2.786596362	6.753551055	5.074676686	6.247927513	6.791814071	4.371558863	4.626439137	6.261154673	7.859224162	8.907191126	7.925999419	4.727920455	7.413627929	4.129283017	4.392317423	4.968090752	4.09592442	6.786596362	4.371558863	6.434628228	7.568336182	7.48703608	6.334496768	4.232660757	7.004501392	3.584962501	4.145677455	6.708739041	3.185866545	5.719731057	3.744161096	6.560714954	6.916476644	6.183883459	4.061776198	4.802193217	5.972692654	3.548436625	6.309248961	5.62058641	7.740118043	3.217230716	4.217230716	4.017921908	7.330916878	6.653919873	6.62058641	3.485426827	4.09592442	4.995484519	5.809928866	4.10433666	5.95419631	4.716990894	3.364572432	5.9795681	3.744161096	5.581953751	8.075746538	7.531381461	3.510961919	5.776103988	9.22905912	4.694880193	7.243173983	6.897240426	6.004501392	3.678071905	4.169925001	3.153805336	6.112700133	4.560714954	5.914086097	7.559950613	7.714932352	8.493054842	8.402585758	5.812498225	3.765534746	3.87774425	5.762880293	3.472487771	3.807354922	7.290940402	6.781359714	7.908692838	3.733354341	4.153805336	5.87282876	5.62058641	4.944858446
A2MG	6.778734244	6.244125943	8.589838376	4.727920455	6.985272714	6.951867504	8.04220656	5.860466259	5.551516018	6.737416366	7.09592442	4.590961241	6.312882955	5.116863758	6.276124405	6.312882955	6.076815597	5.719731057	6.024585638	6.694880193	6.923624611	6.213347282	6.966937979	7.272396509	6.215290306	7.246027981	7.425425735	6.017921908	5.581953751	6.40599236	6.48058827	7.076815597	6.161887682	8.217230716	5.867896464	5.933100475	6.918863237	6.387155718	6.272396509	5.882643049	5.43629512	5.442943496	6.341630009	5.921245889	7.13442632	5.590961241	6.029011087	5.802193217	6.244125943	6.131342539	6.209453366	6.655351829	6.723831566	6.175923742	6.6395216	5.736063628	6.920055055	6.361066489	7.112700133	5.689299161	5.965784285	7.063934306	6.44625623	6.289096702	6.885086225	5.867896464	6.068240861	6.334496768	5.523561956	5.277984747	6.893604905	5.070389328	6.314696526	6.0	6.274261661	6.341630009	6.395748328	5.95419631	5.10433666	7.238404739	4.419538892	7.151777655	7.742140985	7.236492618	7.532940288	5.209453366	5.909293086	6.341630009	8.921543444	5.754887502	6.856736756	8.286788759	7.041111535	5.623515741	7.957682486	5.817623258	6.203592714	5.64385619	6.595443985	5.03562391	5.963474124	6.312882955
A4	4.862947248	7.55688919	6.332481	7.187846909	5.909293086	4.300123725	6.419316366	5.578938713	6.357552005	7.28077077	6.536531484	6.997744026	6.495055528	5.584962501	7.147713722	5.842978832	6.050936965	6.914086097	6.085339669	7.166916252	8.533329732	6.73470962	5.961160258	7.024585638	5.177917792	6.320123598	7.086401646	7.190812368	7.413627929	5.588038333	6.87647275	6.209453366	6.683696454	5.501439145	6.366904479	6.809963547	7.073606041	6.177917792	6.247927513	5.837943242	6.568336182	7.701826258	5.698408004	6.447909749	5.807354922	5.920941448	6.62497818	6.113222118	5.153805336	7.727920455	6.362820526	7.103287808	6.267128767	6.62935662	5.873920726	7.368069877	5.913640012	7.286326727	5.680886921	5.894817763	5.532940288	5.426264755	6.48058827	6.648177796	6.528258743	4.5360529	5.933100475	4.949534933	6.236492618	7.044394119	6.756958179	6.678071905	5.678071905	7.733354341	5.636749131	6.246027981	5.98370575	6.040015679	6.832890014	6.082027555	6.667343238	6.074676686	5.445874717	6.996614715	6.368069877	7.485426827	8.140574178	7.30103885	5.364572432	5.44625623	6.54225805	6.159871337	5.72920883	5.86048002	5.720706064	6.746850183	5.224966365	5.217230716	5.918863237	7.103287808	6.00980789	6.795639498
ANGI	6.607330314	7.30833903	7.725195817	6.422905743	7.654636029	5.551516018	5.942514505	6.392317423	5.921245889	7.080018029	6.749534268	7.893604905	6.953032377	6.161887682	5.551516018	7.107478647	7.687200695	7.325530332	6.675251386	5.923624611	7.763544364	6.421223299	5.459431619	7.681589817	6.093813673	7.015693807	6.915281866	8.46760555	7.397460726	6.015693807	6.462706751	7.559950613	6.112700133	5.329123596	6.987548259	6.22881869	7.984133595	6.495055528	6.537606691	6.947198584	5.623515741	8.843921051	6.316507819	7.203592714	4.765534746	5.791814071	7.74281467	6.048759312	7.055282436	8.68264352	6.87774425	5.635173947	7.336283388	5.504620392	5.100136671	7.804776378	6.543805176	9.113221243	6.934280594	6.361066489	5.899659026	6.844234988	5.754887502	7.523561956	8.264911693	4.842978832	5.116863758	7.093813673	7.440453944	6.350497247	5.768184325	6.651051691	8.186857067	6.802193217	6.274261661	7.062855655	6.54689446	7.443772393	6.464341533	6.203592714	7.290940402	6.905687849	5.658211483	7.347842794	6.483815777	6.236492618	5.820178962	6.303780748	7.282625134	7.48864354	7.545350645	7.261154673	6.638073837	6.638073837	6.343407822	6.22881869	5.232660757	7.048759312	7.44625623	7.031218731	6.726558779	6.28169825
ANXA1	6.548436625	6.94602899	6.404290064	6.355791547	6.782670659	5.133399125	5.692092375	6.942514505	6.765534746	6.441284272	5.786596362	7.703211467	6.362820526	7.075746538	6.867896464	7.041111535	6.746850183	5.974988112	6.412781525	5.300123725	6.185866545	7.099084761	6.366322214	6.081083929	6.669593751	5.43629512	6.098032083	5.986410935	6.985272714	7.005624549	6.510961919	5.83541884	6.240314329	5.892391026	7.372429792	7.014578465	6.449561375	7.243173983	6.102238194	6.521992956	6.910492832	5.752213368	6.824004051	7.395748328	5.984133595	6.83541884	6.707359132	6.851749041	5.40599236	6.165911939	6.577428828	6.812498225	6.339850003	6.675251386	6.528258743	5.944858446	6.495055528	5.50779464	6.272396509	7.622051819	7.627169061	6.8008999	7.283551423	5.956521363	5.061776198	6.699051844	6.6395216	7.410239331	7.241268177	7.616181231	6.033423002	7.23935985	5.906890596	7.023477152	6.169925001	6.62058641	6.686500527	6.053111336	6.683696454	7.187846909	6.589463893	5.899659026	4.66106548	6.06608919	6.193771743	6.232660757	6.617651119	6.070389328	6.357552005	8.063395081	6.102238194	4.87774425	6.416164165	6.683696454	6.697662633	6.66106548	6.199672345	7.153805336	6.270528942	6.859224162	6.831623937	6.648177796
ANX11	6.17990909	6.908092341	5.40599236	7.36018867	6.925999419	4.722466024	4.770829046	6.994353437	7.022367813	5.716990894	5.783980414	6.619119511	6.638073837	6.795715007	6.437960088	6.599912842	6.58044702	5.666756592	5.804776378	6.131342539	5.968090752	6.904484098	5.875288598	6.125155131	6.459431619	5.475733431	5.416164165	5.529820947	6.987167214	6.599912842	6.215290306	6.230741003	6.752213368	5.672425342	7.144658243	6.700439718	5.860466259	6.867896464	6.444600814	6.378511623	7.422905743	5.529820947	6.599912842	6.685099172	6.398598896	6.40599236	5.61176256	6.880195729	4.958842675	5.64096791	6.501439145	6.373300197	6.454504938	6.063934306	6.824004051	6.03562391	6.22881869	5.802193217	6.654396167	6.692092375	7.100136671	6.62497818	7.141596278	6.006746832	5.412781525	7.136478518	6.456149035	6.394450936	6.903279342	7.107478647	6.223036338	6.882643049	5.510961919	6.799605422	5.539158811	6.811214118	6.977279923	6.412781525	6.141596278	6.727920455	6.364572432	5.973360812	4.193771743	6.374008629	6.28169825	6.864158199	6.43961296	6.205548911	5.623515741	6.995484519	6.040883931	5.84349772	5.185866545	6.834154981	6.217230716	7.087462841	6.58044702	6.796789286	6.43629512	6.899659026	7.078951341	7.171927354
ANXA2	6.685099172	6.554588852	6.62058641	5.986410935	6.515699838	5.145677455	5.904484098	6.578938713	6.893604905	7.324630615	6.376776572	6.62935662	6.74281467	7.275193334	6.712870868	7.046578367	6.666756592	6.325530332	6.50779464	5.899659026	6.183883459	6.934280594	6.861707287	6.339850003	6.882643049	6.261154673	6.362820526	5.663913842	7.047669251	6.714245518	6.419538892	6.213347282	6.125155131	5.977279923	7.022367813	6.957682486	6.690696444	6.656782364	6.51412226	6.820178962	7.363696745	6.215290306	6.943686952	7.264911693	6.074676686	6.899659026	6.089582893	6.757556689	5.569855608	6.826548487	6.43629512	7.098032083	6.874059203	6.357552005	7.124121312	6.330916878	6.686500527	5.82527683	6.211401637	7.191799501	7.089582893	6.669593751	6.915281866	6.881419908	5.911691582	6.45779126	6.311067102	6.044394119	6.622051819	8.011786331	5.94016675	7.026800059	6.151777655	6.808642468	6.723831566	6.714245518	7.253611152	6.22881869	6.910492832	7.033423002	7.173926932	6.165911939	4.968090752	5.749534268	6.414473836	6.296457407	7.067165427	6.321928095	6.551516018	6.898450233	5.773468928	4.930737338	6.699051844	6.855491443	6.424586226	6.417852515	6.690696444	6.442943496	6.06608919	6.419538892	6.531381461	6.692092375
ANXA4	6.451211112	7.067165427	6.345183447	6.46760555	7.061776198	4.744161096	6.447909749	6.818901676	6.431288654	5.842978832	6.0	7.8899602	6.882643049	6.955359305	7.05853297	6.93191939	7.094869433	4.263034406	6.211401637	6.658211483	5.830356747	7.106432078	6.44625623	5.840463234	5.794415866	5.244125943	5.956521363	6.207502459	8.054739967	6.616181231	7.037821465	6.191799501	6.960001932	6.312882955	7.595443985	7.631540867	6.5360529	6.992088609	6.135452784	6.656782364	6.898450233	5.173926932	6.87036472	7.23935985	6.031218731	7.827183896	6.078951341	7.140574178	5.044394119	5.551516018	6.820178962	7.089582893	6.509379149	6.462706751	6.45779126	6.427941333	6.416164165	5.867896464	6.411087227	7.40173285	7.156841525	6.655351829	7.139551352	6.0725346	4.897240426	6.891176125	6.608809243	6.673839056	6.798309782	8.118941073	6.421223299	7.007868243	6.924812504	7.027905997	6.277984747	6.927185358	7.038918989	6.515699838	6.9795681	6.968090752	6.74819285	6.882643049	5.14974712	6.632268215	6.726558779	6.292781749	7.381110294	6.595443985	5.809928866	7.667466405	6.834154981	6.22881869	6.586464526	6.506208389	6.812498225	6.506208389	6.483815777	6.6794801	6.268658955	6.581953751	6.916476644	6.883865155
ANXA5	5.981852653	6.738767837	6.789207575	6.266786541	7.068240861	4.510961919	6.329123596	6.856736756	6.794415866	7.06608919	5.64096791	7.625708843	6.482202926	6.834154981	6.645298164	6.525129251	6.880195729	5.752213368	5.83541884	5.482202926	5.608809243	6.437960088	6.465974465	5.875288598	5.892391026	5.247927513	7.460251099	6.024585638	7.692092375	7.026800059	6.827819025	5.741466986	6.352264173	5.575917361	7.399171094	6.633721813	6.753551055	6.960001932	5.778734244	7.470862199	7.049848549	6.294620749	6.710117632	6.798309782	5.0	7.460251099	6.54689446	6.942514505	5.412781525	6.531381461	6.652486495	6.64096791	6.421223299	6.352264173	6.866660751	6.607330314	5.961160258	6.716990894	6.076815597	7.460251099	7.474111514	6.772149591	7.098032083	5.560714954	5.64385619	6.741466986	6.526694846	7.361943774	6.812498225	7.36018867	5.10433666	7.200653436	6.553053253	6.383704292	6.416164165	6.474111514	6.279842694	6.002252452	7.429615964	6.766860144	6.916476644	5.566815154	4.689299161	6.498250868	6.595443985	6.193771743	7.188836073	5.894817763	6.366322214	7.886915896	6.753551055	4.765534746	6.971543554	6.057450272	6.426264755	6.217230716	6.157852169	6.766860144	6.332707934	6.933100475	6.762880293	6.827819025
ANXA6	6.272396509	6.888743249	5.346956889	6.914086097	6.845490051	4.0	5.794415866	7.180903709	6.927185358	5.575917361	5.986410935	8.22881869	6.64385619	6.785288981	7.129283017	6.829088444	7.050936965	5.112700133	6.205548911	5.986410935	5.64096791	6.630813152	6.332707934	5.850499414	6.133399125	4.432959407	5.760220946	6.290940402	7.132371199	6.882643049	6.949534933	6.163901214	6.760220946	6.011227255	7.224966365	6.866660751	6.918863237	7.379378367	6.215290306	6.76420813	6.93191939	5.783980414	7.071462363	6.857980995	5.944858446	6.807354922	6.539158811	7.034523875	4.842978832	5.587964989	7.112700133	6.749534268	6.566815154	6.355791547	6.325530332	6.137503524	6.112700133	5.517275693	6.559185866	7.300123725	7.371558863	6.697662633	7.309248961	5.897240426	5.116863758	6.94016675	6.8899602	7.173926932	7.100136671	7.490249211	5.933100475	7.346956889	6.091699834	6.651051691	6.276124405	6.832890014	6.846744023	6.390598906	7.130313146	7.099084761	6.875288598	4.963474124	3.925999419	6.131342539	6.454504938	6.475733431	5.815063017	6.236492618	5.830356747	8.126188211	6.085339669	4.277984747	6.831623937	6.787902559	6.236492618	6.723831566	5.933100475	6.804776378	6.28169825	7.021257621	7.148730779	7.244125943
ANXA7	6.452858965	6.972692654	5.392317423	7.151777655	7.099084761	5.270528942	5.145677455	6.912889336	6.807354922	5.520422249	6.029011087	6.623515741	6.752213368	6.94016675	6.566815154	6.464341533	7.30560579	5.951867504	6.031218731	6.921245889	5.663913842	6.958842675	6.100136671	5.916476644	6.399171094	4.944858446	5.746850183	5.885086225	6.849248703	7.022367813	6.215290306	6.501439145	6.8008999	5.733354341	7.107478647	7.225930411	6.301953395	6.94016675	6.399171094	6.345183447	7.075746538	5.984133595	6.752213368	6.972692654	5.855491443	5.804776378	6.059614856	6.935459748	5.137503524	5.532940288	6.780047576	6.439623138	6.627898616	6.854245054	6.390598906	5.928370323	6.357552005	5.951867504	6.483815777	6.711494907	6.986410935	6.559185866	6.949534933	5.776103988	5.61176256	6.933100475	6.247927513	7.047669251	6.752213368	7.244125943	6.215290306	6.694880193	5.757556689	6.592457037	6.050936965	6.6043679	6.995484519	6.207502459	6.053111336	6.906890596	6.725195817	5.449561375	4.472487771	6.276124405	6.09592442	7.17990909	5.754887502	6.655351829	5.575917361	6.623515741	6.116863758	4.925999419	5.817623258	7.006746832	6.569855608	7.176921112	6.314696526	6.916476644	6.557655155	6.765534746	6.834154981	7.346070441
SLPI	6.523561956	8.277519887	7.515699838	7.417008587	7.027905997	3.608809243	5.916476644	5.635173947	5.221103725	6.806066226	5.680886921	7.011227255	7.484621527	5.388878339	5.840463234	6.92243574	7.124121312	6.272396509	5.64096791	5.5360529	7.663913842	7.558420713	5.259272487	7.0	5.804776378	6.040015679	6.769507291	7.756889855	7.330020516	6.0	6.193771743	8.29553937	5.672425342	4.510961919	7.176921112	6.746850183	8.181400762	6.261154673	6.649615459	5.378511623	5.714245518	8.676309727	6.575917361	6.840463234	5.0	4.608809243	6.723831566	4.94016675	7.557655155	9.01346226	6.447909749	5.694880193	6.246027981	5.100136671	4.977279923	7.744833837	6.221103725	9.464137286	7.150762744	6.399171094	5.827819025	7.188836073	6.155830172	7.602142091	8.629720891	3.935459748	5.165911939	7.423746229	6.369815424	7.017921908	6.03562391	6.966937979	7.975561406	7.321928095	4.590961241	7.114783447	6.429615964	6.875288598	5.837943242	7.133399125	7.486231678	7.002252452	4.560714954	7.737416366	6.678071905	6.422905743	6.197708158	6.191799501	6.791814071	6.469234794	8.038918989	7.138527801	6.03562391	6.822730148	6.414473836	6.881419908	5.909293086	7.006746832	7.58044702	7.696967526	6.718361626	7.387155718
ANT3	6.881419908	7.279842694	6.485426827	6.960001932	6.155830172	6.619119511	7.169925001	6.257387843	6.334496768	6.626439137	6.693486957	5.266786541	6.64096791	6.912889336	6.525129251	6.995484519	6.081083929	6.54689446	6.545350645	6.394033895	8.174426394	6.711494907	6.390598906	6.827819025	6.441284272	6.362820526	5.914086097	6.599912842	6.593951284	5.918863237	5.855491443	7.656782364	6.584962501	6.607330314	6.285402219	6.412781525	5.754887502	5.725195817	5.83541884	5.274261661	5.993221467	5.977279923	6.874059203	6.737416366	6.816343705	6.569855608	6.692092375	6.648177796	6.151777655	6.893604905	5.765534746	7.528258743	6.793115555	6.845490051	6.070389328	7.05853297	6.741466986	6.540709263	6.131342539	6.972692654	5.091699834	6.348728154	5.517275693	7.033423002	6.419538892	6.387155718	6.757556689	7.349612972	6.249824549	7.28169825	7.351380981	4.972692654	7.061776198	8.081083929	7.06608919	6.781359714	6.525129251	6.161887682	5.87282876	5.892391026	5.875288598	6.470862199	6.690696444	6.28169825	6.802193217	6.636624621	7.427941333	6.387155718	7.184875343	6.211401637	6.307428525	8.351380981	6.483815777	5.526694846	6.338067798	5.727920455	5.781359714	5.703211467	5.495055528	6.083213368	6.10433666	6.020146573
APOA1	6.102238194	6.378511623	6.616181231	6.673839056	5.62935662	7.40173285	7.053111336	5.949534933	6.529820947	5.465974465	7.387155718	3.786596362	6.852997588	6.826548487	5.82527683	7.171927354	5.802193217	5.8899602	7.147713722	6.726558779	7.946613905	6.414473836	6.707359132	7.164906927	6.472487771	6.563768278	5.318316841	6.465974465	5.141596278	5.689299161	5.799605422	7.062855655	6.909293086	8.154311811	5.371558863	6.509379149	6.820178962	6.45779126	6.482202926	4.510961919	6.181897643	5.022367813	6.357552005	6.249824549	7.701133155	5.125155131	5.744161096	6.43629512	5.942514505	7.304693557	5.930737338	7.14974712	6.316507819	7.207502459	6.816343705	6.571373436	6.43629512	5.551516018	5.923624611	5.070389328	5.862947248	7.581953751	6.061776198	7.016808288	5.942514505	5.658211483	7.311975314	5.727920455	5.409390936	6.061776198	8.165911939	4.689299161	6.191799501	7.664625055	7.350497247	6.693486957	6.247927513	6.633721813	5.0	6.447909749	4.247927513	7.535275377	7.71630504	6.613236955	8.29553937	6.590961241	6.554588852	6.6794801	7.908092341	4.916476644	5.318316841	7.611024797	5.802193217	6.17990909	7.460251099	6.686500527	6.244125943	5.504620392	5.802193217	4.930737338	5.942514505	5.855491443
APOA2	6.860466259	6.352264173	6.217230716	5.03562391	6.246027981	5.988684687	7.828453874	5.789207575	6.783980414	5.157852169	6.942514505	3.700439718	7.616916363	7.264911693	6.053111336	7.091699834	6.01346226	6.187846909	6.777419716	7.014578465	6.703211467	6.371558863	6.682292371	6.817623258	6.899659026	5.361066489	5.070389328	6.900866808	5.217230716	6.409390936	6.362820526	6.537606691	6.316507819	8.771159296	5.339850003	7.09592442	5.285402219	6.400879436	6.404290064	4.247927513	5.504620392	5.498250868	6.503030646	5.965784285	7.954777925	5.672425342	6.21916852	7.077883864	5.569855608	6.102238194	5.923624611	6.753551055	6.880195729	7.737416366	7.167919866	6.817623258	6.963474124	5.388878339	6.962317655	4.963474124	5.635173947	7.14363831	5.700439718	6.390598906	6.004501392	6.147713722	7.731319031	6.778734244	6.223036338	6.169925001	7.880195729	4.336283388	6.602884409	6.935459748	7.746850183	7.441284272	6.62935662	7.209453366	4.504620392	6.167919866	4.478971805	7.791162889	7.407692649	6.795715007	7.329123596	6.068240861	5.469234794	6.504620392	7.262094845	4.638073837	6.147713722	6.605849867	6.070389328	5.804776378	7.101187815	5.752213368	5.593951284	5.482202926	5.554588852	4.044394119	5.361066489	6.270528942
APOA4	6.645298164	6.316507819	5.885086225	6.525129251	6.716990894	6.388878339	6.727920455	5.830356747	6.722466024	7.130313146	6.708739041	4.749534268	6.736063628	6.655351829	6.266786541	7.5360529	7.05202456	6.968090752	6.760220946	6.548436625	9.009828617	7.114783447	5.847996907	7.689997971	6.078951341	7.841721581	5.933100475	7.092757141	5.285402219	5.296457407	5.797012978	8.402159367	6.783980414	6.441284272	5.94016675	6.62935662	6.12722055	5.412781525	6.58044702	4.66106548	5.385431037	6.587964989	6.785288981	5.776103988	6.033423002	5.22881869	6.444600814	6.776103988	5.857980995	7.509379149	5.462706751	6.521992956	6.215290306	5.812498225	6.362820526	6.862947248	6.635173947	6.362820526	5.937815169	5.371558863	5.28169825	7.182890893	5.54225805	7.133399125	6.974988112	5.209453366	6.655351829	6.731997787	5.916476644	6.658211483	7.416164165	5.189824559	6.865423978	7.44625623	7.109569509	6.87774425	5.875288598	6.692092375	5.205548911	6.061776198	3.678071905	7.098032083	7.576673293	6.361066489	6.892391026	6.369815424	7.813781191	7.248876343	6.485426827	4.995484519	5.804776378	8.252665432	6.141596278	5.244125943	6.632268215	6.598424761	5.935459748	6.006746832	5.680886921	6.133399125	5.520422249	6.301953395
APOB	6.499845887	5.714245518	6.085339669	5.270528942	5.689299161	7.043300754	7.101187815	6.207502459	6.495055528	4.977279923	7.10433666	5.03562391	5.678071905	6.294620749	6.251719093	6.589463893	6.329123596	5.572889668	6.424586226	6.253611152	7.830990481	5.897240426	6.221103725	8.728260673	7.73470962	4.981852653	5.773468928	7.230741003	5.008988783	6.881419908	6.207502459	6.417852515	7.383704292	7.68580002	5.03562391	6.669593751	5.626439137	5.94016675	7.031218731	5.022367813	5.902073579	4.754887502	6.325530332	6.770829046	6.829088444	4.95419631	5.8899602	6.417852515	7.349612972	6.332707934	5.399171094	6.722466024	5.605849867	6.617651119	7.685099172	5.928370323	6.427941333	4.749534268	6.723831566	5.560714954	6.447909749	6.321928095	5.465974465	7.695576306	4.981852653	5.491853096	6.259272487	5.977279923	5.091699834	5.517275693	6.882643049	5.263034406	4.722466024	5.830356747	6.860466259	6.902073579	6.378511623	7.002252452	5.129283017	6.28169825	5.475733431	7.153805336	7.550746785	5.827819025	6.859224162	5.842978832	5.303780748	7.416164165	6.551516018	5.357552005	7.259272487	6.944858446	5.744161096	6.048759312	7.09592442	6.177917792	7.288173968	5.236492618	6.118941073	6.399171094	6.76420813	7.171927354
APOC1	6.078951341	6.669593751	6.076815597	6.213347282	5.956521363	7.05202456	6.008988783	6.0725346	6.577428828	5.526694846	7.192785959	4.968090752	6.849248703	6.125155131	5.165911939	6.760220946	4.596935142	7.294620749	7.030115331	6.829088444	6.94602899	5.469234794	6.076815597	8.308794067	6.673839056	5.197708158	5.14974712	8.594697827	5.057450272	5.944858446	5.292781749	8.087993146	6.995484519	7.829088444	3.837943242	7.967514481	5.885086225	6.261154673	6.886306263	5.646738698	6.385431037	6.962317655	6.053111336	7.001126665	7.040015679	4.10433666	7.338959175	6.888743249	5.572889668	8.087462841	6.125155131	6.651051691	5.8899602	5.137503524	6.963474124	7.105384749	7.368069877	7.725195817	5.87036472	4.666756592	5.314696526	5.857980995	5.048759312	7.123086751	5.224966365	5.259272487	6.459431619	5.83541884	5.325530332	6.915281866	6.772149591	4.62058641	6.714245518	6.201633861	6.737416366	7.741466986	6.935459748	7.145677455	4.666756592	5.799605422	4.847996907	8.106432078	8.773798574	7.411087227	7.990387652	6.195741293	7.412781525	6.719731057	7.954777925	4.548436625	7.724513853	6.409390936	4.649615459	5.385431037	6.350497247	6.381975479	6.874059203	4.87774425	5.575917361	4.760220946	6.376776572	6.020146573
APOC2	6.303780748	6.478971805	7.135452784	4.754887502	5.581953751	5.504620392	6.04220656	5.409390936	7.069315495	5.364572432	6.283551423	5.040015679	7.561478892	6.211401637	5.197708158	8.026800059	5.270528942	8.428778891	5.332707934	8.105908509	6.745506266	4.472487771	4.781359714	6.575917361	6.424586226	6.059614856	3.972692654	7.502235115	5.255500733	6.207502459	6.383704292	6.840463234	5.963474124	7.569855608	4.902073579	8.240314329	4.378511623	5.339850003	6.392317423	5.885086225	5.289096702	6.707359132	6.121015401	5.984133595	6.454504938	5.587964989	7.763544364	5.822730148	7.317412614	6.294620749	4.867896464	5.09592442	6.419538892	5.830356747	6.277984747	6.311067102	6.942514505	7.083213368	4.812498225	5.125155131	4.177917792	4.95419631	4.672425342	5.981852653	5.820178962	5.004501392	6.171927354	5.185866545	5.361066489	5.40599236	6.942514505	4.584962501	4.371558863	6.525129251	6.719731057	7.242221395	6.811214118	6.024585638	4.224966365	5.292781749	6.06608919	7.614709844	8.212861117	7.354028938	8.583834955	6.829088444	8.224001674	6.687900522	6.534497434	5.392317423	7.087462841	6.292781749	5.708739041	5.259272487	6.17990909	6.020146573	5.626439137	4.153805336	6.375039431	6.078951341	4.94016675	5.845490051
APOC3	6.173926932	6.402649328	6.77478706	4.882643049	5.277984747	4.906890596	7.316507819	5.412781525	6.572889668	4.64385619	6.427941333	5.173926932	7.150762744	5.694880193	5.336283388	8.121533517	5.675251386	8.166414183	6.803485376	6.832890014	6.933100475	5.40599236	4.892391026	6.427941333	6.223036338	5.762880293	5.285402219	8.083745237	5.918863237	4.887525271	5.827819025	6.953032377	6.346956889	8.297374861	5.22881869	7.99095486	5.270528942	5.152887768	6.556122818	5.599697267	5.169925001	6.844234988	6.30560579	5.608809243	6.112700133	5.465974465	7.225930411	5.809928866	7.483815777	6.73470962	4.689299161	6.261154673	6.085339669	6.175923742	5.307428525	7.678195671	7.055282436	7.288173968	5.87036472	4.99095486	5.213347282	6.161887682	5.205548911	7.44625623	5.840463234	4.921245889	6.390598906	5.965784285	5.66106548	5.575917361	6.782670659	3.897240426	6.754887502	6.255500733	7.569855608	7.261154673	5.935459748	5.914086097	4.857980995	5.296457407	3.548436625	8.8166637	8.433376793	8.373735202	8.75087444	6.334496768	6.76420813	6.424586226	7.244125943	4.963474124	8.688949628	7.87774425	4.336283388	5.62935662	5.686500527	6.211401637	5.129283017	4.867896464	6.876516947	4.523561956	5.026800059	5.017921908
APOD	6.608809243	5.951867504	6.780047576	5.652486495	6.169925001	6.680886921	6.462706751	6.472487771	5.714245518	6.417852515	6.911691582	4.548436625	6.193771743	5.575917361	5.596935142	6.106432078	5.083213368	7.154818109	6.199672345	6.201633861	6.844234988	5.847996907	6.92243574	8.155324229	7.043300754	7.195741293	7.049848549	7.154818109	5.193771743	6.826548487	5.517275693	7.130313146	7.361066489	7.102238194	5.078951341	6.175923742	5.99095486	6.121015401	6.373300197	4.925999419	6.211401637	5.914086097	6.28169825	7.536830005	7.397460726	5.189824559	5.523561956	5.409390936	6.21916852	6.996614715	5.617651119	6.740118043	5.336283388	5.5360529	7.696967526	6.474111514	6.01346226	6.307428525	6.630813152	4.981852653	5.865423978	6.614709844	6.199672345	8.036173613	6.626439137	4.99095486	5.725195817	5.968090752	4.472487771	5.855491443	6.920055055	5.09592442	6.116863758	6.223036338	6.187846909	6.276124405	6.672425342	6.82527683	4.711494907	6.28169825	4.892391026	8.539934245	9.845333228	6.968090752	6.794415866	4.87282876	6.559185866	7.108524457	7.701826258	4.270528942	6.675251386	8.621319301	6.671010241	7.077883864	7.019034669	6.046578367	6.399171094	5.584962501	5.925999419	5.336283388	6.336283388	6.287250643
