	N120	N123	N124	N126	N130	N131	N137	N138	N140	N144	N145	N146	N148	N149	N150	N151	N152	N153	N154	N155	N156	N158	N160	N163	N164	N165	N166	N169	N170	N171	N172	N173	N176	N177	N178	N179	N180	N182	N185	N186	N187	N188	N189	N190	N192	N193	N195	N197	N198	N199	N200	N202	N203	N204	N205	N209	N210	N211	N212	N214	N215	N216	N217	N219	N220	N221	N222	N223	N224	N226	N228	N229	N232	N233	N234	N235	N237	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N257	N258	N259	N261	N263	N264	N265	N266	N267	N268	N269	N270	N153A
AHCY	1.477033173	0.359198426	1.004937227	0.669868688	0.887140672	0.801306476	2.86351155	1.378763348	0.555430593	1.907204707	1.555342953	1.247723971	2.399051435	3.176468377	2.836803173	1.523669649	0.417301684	2.192155735	0.49945	1.611591268	2.07592907	2.783463173	1.349355254	1.052229203	0.595760323	0.735314707	1.858686346	5.18816619	1.917437499	1.032293173	0.768404571	2.195466999	2.291738852	0.988617338	2.299961188	0.0	2.864751188	1.646361268	0.225158688	2.865002824	0.989626266	2.222271733	1.555956999	2.22067619	1.678831268	0.21194	1.4895	0.549644707	0.280288767	2.29796907	2.634183689	0.193503348	2.161717338	3.196096176	1.052479879	2.282596346	0.274458767	1.793581268	1.976573173	3.944844185	2.662398095	2.490053349	3.032939649	0.44410957	2.66559	2.685499879	1.934056472	2.828594571	2.778031268	1.354325195	1.535958095	1.271466758	2.556277499	0.707381631	3.101245735	1.27814	1.628804707	1.329616187	1.668218095	0.70184	1.243566476	0.209446176	1.12006	1.505239879	1.915656472	1.66167907	1.982176266	1.810888095	2.645706999	0.36619	0.71576	1.633714234	1.943861435	1.964391268	1.22995314	1.10453	2.438903971	0.580752824	0.83952	1.68321907	0.72336
THOP1	2.323413173	1.637698426	0.359897227	2.299578688	2.376830672	4.267216476	4.21520155	2.834903348	2.002820593	3.180004707	4.381332953	2.118773971	4.731111435	4.487208377	5.043923173	3.563509649	1.657561684	3.107115735	1.15657	1.525311268	3.39637907	4.321183173	4.482945254	2.365239203	0.847100323	2.651554707	2.632806346	7.50853619	4.312047499	3.129713173	0.624884571	2.944756999	2.803838852	2.699777338	2.892071188	1.463423173	4.555331188	2.420591268	0.958738688	3.934402824	1.833156266	4.175521733	2.664826999	3.26663619	4.442401268	2.23784	2.77441	0.402844707	0.960838767	3.20465907	3.765663689	1.414043348	4.633577338	5.400186176	1.538979879	2.557776346	0.789148767	4.070401268	4.081663173	4.642424185	4.359018095	3.614223349	4.729619649	0.93673957	4.23278	4.304189879	4.499906472	4.649794571	3.995481268	2.792865195	3.121928095	3.111846758	4.355267499	2.506201631	3.681155735	2.52287	4.461004707	1.210636187	3.878128095	2.15821	0.371706476	-0.179223824	0.83572	2.246609879	2.521586472	0.95382907	2.839966266	2.885078095	4.275476999	1.39274	0.0	3.480754234	2.209271435	3.406891268	2.40694314	2.2612	4.277713971	0.0	3.31518	3.93009907	1.43111
CTSO	3.161513173	-0.066991574	2.553237227	0.700248688	0.369680672	2.356286476	1.73895155	1.767723348	0.841880593	2.079884707	1.051072953	1.307823971	1.578181435	5.142548377	3.725213173	0.824969649	1.298211684	2.313595735	1.53945	4.744281268	4.25521907	4.210693173	2.324015254	0.523199203	1.113980323	0.797074707	2.055126346	6.26905619	1.762647499	1.754473173	2.553694571	3.813786999	3.360878852	2.059887338	3.239001188	0.752153173	2.685941188	3.218111268	0.134858688	2.703572824	0.928316266	4.319691733	3.028976999	5.31520619	1.031541268	1.44862	1.77748	0.303614707	1.876698767	1.69490907	5.191133689	0.068853348	1.766367338	1.321876176	2.737189879	2.586136346	1.474658767	2.113021268	1.811893173	1.942404185	2.220618095	2.054033349	2.371529649	0.0	1.04146	3.998459879	2.000496472	2.866984571	4.164091268	4.079385195	1.196978095	1.126776758	1.414407499	2.757001631	2.630585735	1.56694	1.248774707	0.625456187	1.794178095	0.45862	0.521996476	0.012306176	0.65371	2.389509879	3.146666472	2.67657907	4.033596266	2.019598095	1.905656999	0.32311	2.96352	1.299204234	1.745671435	4.522771268	2.92939314	1.60581	2.467883971	0.446142824	2.83203	2.46303907	1.26948
CD164	3.495953173	3.168378426	2.272407227	2.895808688	3.573650672	5.217076476	4.53234155	3.597753348	3.567980593	3.516364707	4.450962953	3.067623971	5.557771435	4.701868377	5.224963173	3.742829649	4.694271684	3.773535735	1.47008	2.274111268	4.24375907	5.304123173	4.789795254	3.557649203	4.067320323	6.064464707	3.516576346	8.68609619	5.339757499	3.955443173	2.922484571	3.801576999	4.322398852	3.818527338	4.127111188	3.325573173	4.969231188	3.424361268	3.094538688	4.079682824	3.299926266	4.782371733	4.121076999	4.11979619	5.384421268	2.55006	3.91694	3.644014707	2.716508767	3.68584907	4.296163689	2.140123348	4.617157338	5.007396176	2.960909879	3.709316346	4.891158767	4.479721268	5.053433173	6.019354185	4.883878095	4.968443349	5.124869649	3.51511957	4.33479	5.122049879	5.296636472	5.013834571	4.352411268	3.613995195	4.633128095	3.770316758	5.576707499	4.112091631	4.277895735	3.01887	4.669044707	4.456026187	4.630378095	3.24981	4.112076476	3.546086176	3.23036	4.055329879	3.221006472	2.90066907	3.634936266	3.966388095	5.238116999	3.19693	3.45107	4.860024234	3.850821435	4.309581268	4.14154314	3.43053	4.928033971	3.121392824	4.05851	4.61694907	3.00031
ACP6	1.291963173	-0.103111574	0.022167227	0.216598688	0.192650672	0.832156476	3.14391155	1.712323348	0.0	1.092684707	2.462322953	1.023353971	2.251401435	2.671728377	1.803803173	1.872819649	0.0	1.305725735	0.2343	0.0	1.76789907	2.153563173	1.287105254	0.700019203	0.0	0.0	1.345926346	4.79465619	1.758807499	0.800423173	0.0	1.672296999	1.777728852	0.603377338	1.518441188	0.0	2.830061188	1.512461268	0.0	2.091792824	0.0	2.590201733	1.208686999	2.28072619	0.423791268	0.0	1.61052	0.0	0.0	1.76760907	2.249253689	0.052143348	3.068967338	2.503116176	0.0	1.800566346	0.0	2.222201268	2.295333173	2.395614185	2.612718095	2.738683349	3.320759649	0.0	2.26327	2.331279879	3.026576472	3.267004571	2.545781268	1.660875195	1.627488095	0.410276758	2.371017499	1.403801631	1.403115735	1.14885	1.647264707	0.0	2.855038095	0.66622	-0.044313524	0.0	0.0	0.0	1.447586472	0.0	1.427396266	0.509568095	2.030556999	0.0	0.0	0.866734234	1.384911435	1.414871268	0.97627314	0.21214	2.192293971	0.0	1.25975	2.51609907	0.74225
ANGPT2	3.339533173	1.480778426	1.224987227	2.956358688	0.102060672	1.326146476	2.37393155	3.520633348	-0.372959407	2.886984707	1.367222953	2.920383971	4.019721435	4.263368377	4.227083173	1.669769649	1.599321684	3.478245735	1.14156	1.510771268	2.68464907	3.236763173	2.096265254	3.326109203	1.565770323	1.386154707	5.712536346	6.84703619	2.225727499	4.234233173	1.552194571	4.271446999	2.361638852	2.002457338	3.839601188	1.817273173	3.359061188	3.627331268	0.906218688	2.588872824	1.109796266	3.825311733	2.811576999	1.86894619	1.961301268	1.05744	3.15368	0.968724707	1.820638767	2.58343907	3.968173689	0.084983348	5.153777338	3.099156176	3.568489879	3.555606346	0.808008767	3.966931268	2.251473173	3.396534185	2.555168095	2.602453349	3.773499649	0.12639957	2.32886	3.448829879	3.919726472	3.321404571	3.504061268	3.500335195	1.847398095	1.562626758	4.437647499	2.986701631	3.986165735	3.45883	2.212514707	1.606036187	2.796198095	1.63167	1.500546476	1.002666176	0.79262	2.669109879	3.726796472	0.92121907	3.989896266	2.244008095	2.544836999	1.07528	0.84226	3.066834234	2.591691435	3.945151268	5.72794314	2.31887	4.099643971	0.735152824	2.50577	2.72231907	2.8758
CD2AP	2.919863173	2.427418426	0.234177227	3.445708688	2.149600672	3.360296476	4.61706155	3.759463348	1.477910593	5.020354707	3.181302953	2.501843971	5.318381435	4.289148377	4.742703173	4.131649649	3.902571684	4.673315735	2.01825	2.149571268	4.72939907	6.215913173	2.433255254	4.102779203	2.534600323	1.963124707	1.608796346	5.51475619	3.468837499	2.516793173	1.009024571	3.833476999	4.523558852	2.498137338	3.627231188	1.501923173	6.043241188	3.883211268	2.152808688	5.873252824	1.516006266	4.971191733	2.959246999	4.66820619	3.753831268	2.12572	3.34108	1.667044707	1.612658767	3.57611907	4.363983689	0.963553348	4.533497338	6.582026176	1.608929879	3.935496346	1.224518767	3.420421268	3.241143173	5.396544185	5.227788095	5.154333349	5.336729649	1.18893957	4.57687	4.781879879	3.430366472	5.113374571	4.166871268	3.292925195	3.554228095	3.400516758	5.780897499	2.705001631	5.267705735	3.67678	3.654614707	2.445796187	5.068218095	2.28852	3.242076476	2.959036176	1.42001	3.334209879	3.362606472	1.22870907	4.093776266	3.169378095	3.525826999	0.1273	0.58553	3.328034234	3.854221435	3.875511268	3.00574314	4.07754	4.248413971	0.0	2.07274	4.45768907	1.05645
ANGPTL7	0.850203173	-0.065501574	-0.110152773	0.0	0.0	-0.040993524	1.25025155	0.0	-0.418079407	0.322034707	3.604382953	0.968373971	0.0	1.470888377	2.146933173	1.808069649	0.712521684	1.911705735	0.0	1.117251268	0.77060907	1.461203173	0.0	0.0	0.304860323	0.0	1.222156346	0.0	0.627227499	1.125453173	0.309104571	0.763956999	0.824888852	0.136357338	0.0	0.0	0.934391188	1.418531268	0.0	0.781382824	0.833246266	0.642661733	0.818006999	0.96963619	0.0	0.31369	0.34459	1.249664707	2.053758767	1.25552907	1.451693689	0.073553348	1.258697338	0.274666176	1.063369879	1.885896346	0.0	2.214381268	1.518463173	1.836024185	0.898158095	1.759113349	4.138799649	1.30157957	0.17315	1.132119879	2.942256472	3.203674571	2.600161268	0.0	1.361138095	2.081396758	1.278567499	0.0	1.180405735	0.57803	0.521224707	0.809006187	0.0	0.19297	0.0	0.0	0.11096	2.854159879	0.0	0.55709907	1.136906266	0.0	1.544596999	0.0	0.0	0.0	0.0	0.0	0.0	0.02547	1.506433971	0.997822824	2.39638	1.43188907	1.43033
CLEC5A	5.663693173	5.944738426	2.972437227	4.564088688	5.711180672	7.958496476	7.17624155	6.068533348	7.661900593	7.341194707	4.808602953	4.947413971	7.258831435	7.754478377	8.009043173	6.881579649	7.611201684	6.786495735	4.03938	5.739031268	7.80197907	7.839413173	6.516025254	7.973909203	7.029990323	6.362814707	3.558246346	8.52859619	7.397117499	5.774983173	4.242424571	6.435356999	6.665648852	6.058127338	6.418231188	3.144603173	5.986191188	6.427231268	6.395498688	6.224922824	3.773386266	6.697181733	7.457926999	4.37227619	6.205071268	4.0341	5.98949	5.455504707	4.678508767	6.02759907	5.930953689	4.432043348	4.538467338	9.901386176	5.630279879	7.196986346	4.544068767	5.749091268	5.649373173	8.210174185	6.985248095	6.761393349	7.080519649	6.06014957	6.87642	6.460189879	5.098686472	7.021734571	7.666611268	4.972235195	5.707128095	6.904656758	7.579407499	7.312541631	8.051465735	5.73663	8.618444707	7.433776187	6.816438095	3.4412	6.736986476	5.218446176	4.61562	6.326299879	5.238976472	5.84805907	6.506776266	6.660668095	6.244606999	3.79581	5.492	5.947304234	7.396781435	6.602781268	5.17570314	7.08678	5.673063971	5.291632824	5.58872	5.18399907	4.22116
TINAGL1	5.275243173	3.951238426	5.557897227	4.935188688	2.491990672	5.852266476	6.03129155	5.332023348	5.162400593	4.364534707	6.432872953	5.906153971	4.846211435	7.116998377	6.703773173	5.848459649	5.084991684	6.059475735	4.07669	5.683531268	5.89084907	6.536553173	6.347005254	3.864539203	4.811860323	5.163024707	6.738086346	9.65253619	4.443207499	5.909883173	5.432874571	5.753166999	5.716368852	5.545657338	5.121271188	6.249113173	6.622131188	6.562201268	4.485608688	6.753822824	6.097706266	6.181981733	4.542166999	6.30039619	4.849501268	5.38812	4.73063	5.913414707	5.979178767	6.15072907	7.414753689	4.421033348	7.155207338	4.435926176	5.757259879	6.017286346	4.745968767	6.483711268	6.091203173	5.873954185	4.793938095	6.676213349	6.830059649	4.67985957	5.35573	6.270519879	6.844376472	7.326514571	6.044531268	6.805965195	6.159888095	4.710066758	5.579467499	5.823801631	5.547255735	5.92564	5.975354707	3.103496187	6.462788095	6.34608	4.228206476	3.570686176	4.75253	6.073689879	6.701556472	5.09799907	5.545586266	4.837718095	6.377576999	4.73234	3.00083	5.802074234	5.567461435	5.978361268	6.25101314	3.98853	6.836693971	3.440652824	5.94427	6.19973907	5.6524
GLRX	0.724673173	0.395448426	0.0	0.426688688	1.227260672	1.198856476	2.14013155	1.372353348	0.177980593	1.563664707	0.967652953	0.384193971	3.076591435	1.871058377	2.442603173	1.161539649	0.979011684	2.006505735	0.0	1.325821268	2.31436907	2.837803173	0.962795254	1.239899203	1.101790323	0.762744707	0.0	0.0	2.224457499	0.0	0.252374571	1.815226999	1.212498852	0.344047338	1.641181188	0.0	2.328441188	1.504911268	0.009838688	2.037302824	0.747826266	2.715971733	1.811146999	1.50892619	0.995521268	0.61503	1.09115	0.078624707	0.365068767	1.24229907	1.877713689	0.0	1.693977338	3.065856176	0.0	1.931366346	0.0	1.586201268	1.960003173	2.847044185	2.766268095	2.383143349	3.383269649	0.27010957	2.31043	1.911919879	1.595166472	2.140044571	2.383011268	0.956075195	0.704398095	0.711356758	2.455627499	0.932181631	2.162895735	0.59325	1.312274707	0.916896187	2.004338095	0.13092	0.740746476	0.374146176	0.0	1.331769879	1.046306472	0.95810907	2.040166266	1.046238095	2.087196999	0.0	0.9036	0.877914234	1.253541435	1.946031268	1.10922314	0.71777	1.708343971	0.0	0.52928	1.35873907	0.03817
ENO2	2.981303173	0.541588426	0.574107227	2.315148688	1.321180672	3.436526476	5.76894155	3.916153348	0.939220593	3.066614707	5.525922953	2.739663971	4.829871435	6.032118377	5.285303173	4.819869649	2.368611684	3.623645735	1.26964	1.870081268	3.78014907	5.044773173	4.639985254	2.645029203	2.309270323	2.947174707	3.411786346	7.00332619	3.922797499	2.591963173	0.0	3.437786999	3.536868852	2.506047338	2.979291188	0.622813173	6.280971188	2.631111268	0.279698688	3.791952824	1.721566266	4.671491733	2.875846999	4.04128619	3.489061268	0.85727	3.8137	1.743914707	1.830528767	4.33303907	4.824073689	0.380073348	5.798507338	5.210076176	0.809289879	2.733056346	0.0	4.605681268	5.172463173	6.038544185	4.812528095	4.932323349	6.063809649	1.08283957	4.69131	6.073969879	6.880066472	6.144374571	4.001111268	3.728635195	3.992058095	2.319856758	5.300417499	3.033471631	3.525415735	3.1493	4.536434707	1.085956187	5.389318095	1.4482	2.081636476	1.067106176	1.12825	2.240259879	3.539656472	1.62571907	2.835886266	2.960298095	5.336836999	0.99825	0.26098	2.914064234	3.171941435	4.406291268	3.37240314	1.5502	4.853943971	0.0	2.63665	5.75351907	2.55405
NADK	2.998563173	2.487778426	1.086747227	4.003678688	4.520390672	4.576786476	6.14821155	4.593673348	2.697540593	5.857564707	5.071162953	3.627623971	7.397291435	5.555888377	5.982513173	5.534939649	3.165831684	5.806575735	3.01301	3.377301268	6.14188907	8.239753173	3.787505254	5.585499203	2.811170323	1.986364707	3.829926346	6.70957619	6.282177499	4.707253173	2.024184571	4.934666999	5.698068852	4.178007338	4.114901188	2.346513173	7.370131188	5.098511268	1.720038688	7.252062824	1.077736266	7.208741733	4.712966999	6.53216619	3.366971268	2.497	4.5406	1.199344707	1.368098767	5.09351907	7.013873689	2.761313348	5.828667338	8.179456176	2.517029879	5.145396346	0.455018767	5.542261268	5.767443173	7.287334185	6.472368095	5.868703349	6.060639649	0.93653957	5.87731	6.531729879	5.116766472	5.948954571	5.525231268	4.674705195	4.564548095	3.509636758	6.848047499	3.847051631	6.372655735	5.05147	6.038154707	2.711946187	6.449778095	3.78763	2.448626476	2.067986176	0.81983	3.496649879	3.801226472	1.76301907	5.554246266	4.569118095	5.607686999	0.56397	0.19904	5.748114234	4.417221435	5.193111268	4.17228314	4.49603	5.758833971	0.0	3.95171	5.55713907	2.5277
SERPINB8	3.193693173	3.338598426	0.267117227	2.849668688	3.249810672	5.784796476	4.95914155	4.468993348	5.015090593	5.412674707	5.222512953	2.319753971	6.695421435	5.550208377	6.259823173	3.802609649	5.353871684	4.555275735	1.20339	2.378101268	5.58077907	7.025363173	4.115505254	4.337929203	3.559360323	2.616154707	2.236836346	7.25484619	6.105067499	3.458343173	1.366434571	4.051286999	4.475958852	3.870507338	3.718821188	2.099113173	6.041551188	3.252371268	3.389428688	5.960712824	1.522366266	5.641681733	4.231806999	3.75424619	5.145501268	1.52215	3.70677	2.201984707	1.611348767	4.58291907	5.788453689	3.267843348	5.030827338	7.533616176	2.606309879	4.164276346	3.913878767	4.713401268	5.416903173	6.590674185	6.151128095	5.344833349	5.510599649	3.85666957	6.46418	5.777029879	4.441826472	5.599404571	5.234471268	3.906135195	3.966978095	4.600846758	5.734437499	3.053641631	6.014245735	3.71657	6.401744707	3.294656187	5.473808095	3.15387	3.372356476	2.335116176	1.36738	3.275589879	2.748216472	2.62311907	4.131706266	4.589358095	5.075396999	0.42057	0.36781	5.171984234	4.509541435	4.442961268	3.09349314	3.82262	4.613043971	2.047852824	3.48517	5.09332907	1.42586
SERPINB6	4.252603173	3.680498426	1.774667227	3.868828688	3.651260672	5.372986476	5.83024155	4.689993348	4.303220593	4.735334707	5.554152953	3.802783971	6.091811435	5.934198377	5.957413173	5.254889649	4.456111684	4.948195735	2.06234	2.797361268	5.13871907	5.777233173	5.211435254	4.323849203	4.241440323	4.372994707	4.456896346	8.41531619	5.715447499	4.612193173	2.468714571	4.591716999	5.303358852	4.575467338	4.806181188	3.894863173	5.922861188	4.377511268	3.674638688	5.610602824	3.088156266	5.729631733	3.963046999	5.00363619	5.614381268	3.40328	4.66414	3.178884707	2.194588767	5.05144907	5.727223689	3.218703348	6.233097338	5.703426176	2.995249879	4.848356346	3.224568767	5.327881268	5.577483173	5.804104185	5.434928095	5.381433349	5.756499649	3.42605957	5.89583	5.813579879	5.974606472	6.302974571	6.359091268	4.672595195	4.872858095	4.572886758	5.891737499	5.083601631	5.827875735	4.48047	5.910124707	3.454486187	5.528528095	4.22065	3.915766476	2.955896176	2.67718	4.033599879	3.915706472	2.79872907	4.808856266	4.318158095	6.062726999	2.52496	1.55287	5.089364234	4.344231435	4.969241268	4.52491314	4.16748	5.914173971	2.669322824	4.32277	5.73295907	3.67623
CDHR5	0.749693173	0.061678426	0.0	0.210338688	0.056690672	0.220096476	0.33772155	0.099263348	-0.121539407	0.403184707	-0.049867047	0.787603971	0.443881435	0.977438377	1.763083173	0.664559649	-0.069748316	1.351385735	0.24146	1.098611268	0.95677907	0.0	0.867065254	0.125569203	0.269870323	0.248444707	1.262816346	4.98898619	0.698917499	0.933073173	0.338624571	0.898716999	1.013248852	0.575327338	0.0	0.527123173	0.628141188	1.541321268	0.0	0.802272824	1.128416266	0.907921733	1.018486999	0.99592619	0.078591268	0.34444	0.39264	0.331884707	0.299598767	0.85702907	1.218703689	0.167343348	1.495637338	0.265356176	0.980429879	1.395446346	0.503098767	1.157101268	0.816823173	0.755034185	0.703308095	0.677503349	0.966359649	0.37932957	0.22256	1.530729879	1.347906472	1.860924571	2.298221268	1.077225195	0.549868095	0.597386758	0.604817499	1.048571631	1.173515735	0.51989	0.487864707	0.697096187	0.734298095	0.41489	-0.048093524	0.020176176	0.46181	0.974499879	1.279046472	0.69342907	1.361486266	0.462858095	1.134026999	0.0	0.26499	0.306404234	0.734401435	1.081371268	0.95298314	0.10348	1.648203971	0.791482824	0.55196	0.65919907	0.22916
CCDC80	10.66159317	9.030978426	4.818227227	8.935598688	9.144420672	10.84708648	11.05017155	10.81592335	8.969530593	10.98328471	10.64956295	8.838423971	10.96828144	11.82076838	12.57260317	11.22389965	9.949001684	12.23958574	10.05656	11.19049127	11.53428907	11.38958317	8.805535254	10.5389992	9.667470323	8.488654707	11.36024635	11.63250619	10.4774975	10.02208317	8.311304571	11.370767	11.49528885	9.034847338	10.59147119	8.878723173	11.51164119	11.73726127	7.880508688	11.29577282	7.111126266	11.57676173	10.777837	11.74143619	6.468411268	8.559	11.03785	8.393734707	10.18428877	11.34224907	12.16529369	7.663013348	12.41260734	10.24634618	9.022969879	12.03638635	8.730928767	11.53642127	11.32718317	11.05567419	10.68492809	11.45866335	11.37690965	8.49013957	8.82241	11.86897988	11.14330647	12.35507457	11.75313127	12.10441519	10.00143809	10.21660676	11.6668975	10.54614163	11.42983574	11.22569	10.52188471	8.793256187	11.06066809	9.82175	9.001606476	9.981996176	7.51818	9.465289879	10.81116647	7.74877907	11.76556627	10.10806809	10.951717	7.92988	6.00322	10.18165423	10.93357144	11.36430127	11.38970314	10.46435	12.05532397	8.413492824	9.54147	11.31771907	10.37757
CA13	0.912763173	0.645648426	0.0	0.430188688	1.822490672	2.018066476	1.99736155	1.204703348	0.560490593	1.398354707	1.546612953	0.965473971	2.594751435	2.179748377	3.349613173	1.326279649	0.0	1.388315735	0.0	0.997361268	1.64667907	2.322483173	1.980995254	1.471289203	0.0	1.270514707	1.051756346	4.93797619	2.241307499	0.727803173	0.0	1.814496999	1.222168852	1.274367338	0.0	0.557123173	2.975701188	1.181641268	0.0	1.896522824	0.800716266	2.651101733	1.347746999	1.43534619	1.553361268	0.26781	0.92864	0.0	0.0	1.76640907	1.986603689	0.169553348	2.275267338	3.255096176	0.798969879	1.127166346	0.291468767	2.078181268	2.724253173	3.784534185	2.611548095	2.883953349	3.167289649	0.0	1.95477	2.245229879	2.456976472	2.645824571	2.621931268	0.843565195	1.494418095	1.342696758	2.267627499	1.393971631	1.612475735	0.39399	2.068394707	0.837836187	2.108838095	0.0	0.0	0.0	0.07811	1.241209879	0.0	0.83425907	1.119866266	1.506428095	2.797156999	0.0	0.0	1.133784234	1.199431435	1.810781268	0.87071314	0.63589	1.979553971	0.0	0.98365	1.81997907	0.0
SEMA3F	0.834253173	0.006688426	-0.029982773	0.054518688	-0.003299328	-0.084593524	1.02983155	0.408053348	0.026050593	0.468404707	0.924402953	0.802303971	0.881811435	1.535618377	1.716373173	0.873699649	0.028481684	1.344555735	0.19569	1.142631268	0.89441907	1.294003173	0.381055254	-0.049850797	0.411510323	0.118834707	1.853576346	0.0	0.868127499	0.736753173	0.0	1.149046999	2.018538852	0.495157338	1.642991188	0.543173173	1.275671188	1.549131268	0.133938688	0.960272824	1.131926266	1.093021733	0.644766999	1.24467619	0.129831268	0.23309	0.5736	0.360984707	0.300528767	1.09634907	2.082203689	0.426783348	1.958877338	0.380176176	0.881809879	1.706976346	0.467308767	1.644931268	1.199903173	0.904594185	1.083308095	1.267723349	1.258069649	0.28832957	0.8532	1.528879879	1.613626472	1.659734571	2.238301268	0.918885195	0.721448095	0.310056758	0.941087499	1.044691631	1.318415735	0.66595	0.645414707	0.471356187	0.790888095	0.52573	0.158656476	0.009726176	0.46228	1.190349879	1.907696472	0.68471907	1.123266266	0.370458095	1.411186999	0.0	0.2237	0.520034234	0.870331435	0.928141268	0.92859314	0.23519	1.885593971	0.506202824	0.58685	0.88955907	0.6771
KLK10	1.049193173	0.828618426	-0.090052773	0.494778688	2.389140672	1.336036476	1.48541155	1.451703348	0.885820593	2.225604707	1.359072953	0.918973971	3.061771435	1.416358377	2.470863173	1.385269649	2.849561684	2.856085735	0.22733	1.777681268	1.77761907	1.816133173	1.011735254	1.895119203	2.608430323	0.693494707	2.296606346	0.0	1.196367499	1.896553173	0.262224571	0.900896999	1.003498852	1.587027338	0.0	0.859873173	1.705201188	2.164321268	1.225128688	0.898652824	1.265466266	1.360131733	1.971766999	1.61941619	0.948561268	0.72094	1.42174	0.316654707	0.655788767	1.07704907	2.076283689	0.338183348	1.359667338	2.284346176	0.803829879	1.839066346	1.554248767	1.758551268	1.595843173	1.438404185	1.531098095	1.687723349	2.366359649	0.49214957	1.26221	3.181019879	2.036456472	1.891214571	2.251491268	1.500555195	1.127238095	0.803876758	2.376267499	1.441981631	1.982815735	1.28505	1.904374707	1.370696187	2.117358095	0.45115	2.344486476	2.319996176	0.30853	1.172569879	1.379736472	1.26817907	2.886606266	1.474058095	1.329256999	0.22181	1.27026	1.142224234	1.592001435	0.979081268	0.87992314	1.16949	1.897733971	0.0	0.9096	1.65040907	0.19284
PILRB	5.022103173	4.677998426	1.487397227	3.663498688	4.759840672	4.734376476	5.38195155	5.351663348	5.814320593	3.578594707	4.141762953	2.963203971	6.310061435	4.787758377	6.534533173	5.899319649	6.312631684	3.389725735	1.95746	3.279401268	6.18070907	7.672103173	5.774985254	5.436819203	5.728160323	4.427234707	2.739436346	6.88002619	4.068657499	4.904633173	3.855854571	4.285046999	4.734838852	5.155637338	3.850011188	3.691363173	6.051671188	5.248501268	4.391268688	6.553772824	2.433876266	5.687011733	2.998656999	5.27296619	4.784931268	2.731	4.75712	4.224354707	4.750538767	4.73008907	5.704293689	4.234873348	4.609117338	6.573916176	4.567219879	5.100516346	3.456078767	5.742181268	6.296793173	6.364314185	5.960878095	6.906793349	5.557529649	5.94024957	3.76345	5.652099879	4.085636472	3.384524571	4.388431268	5.177325195	5.093188095	5.308316758	4.168567499	4.787951631	6.143235735	4.56274	6.824584707	5.493936187	6.727618095	3.36447	5.413536476	4.102526176	3.85939	5.035189879	3.574816472	3.98380907	5.059356266	5.095178095	4.837236999	1.84546	3.30674	5.095354234	6.033411435	5.768451268	4.03298314	5.02744	4.775723971	4.169832824	4.38808	5.00755907	3.10538
ANGPTL1	2.987493173	1.074728426	1.499647227	1.766718688	0.296110672	0.754826476	4.78846155	3.011743348	0.0	2.305774707	3.119232953	2.890953971	3.364031435	3.849848377	4.033113173	3.797269649	0.356111684	2.563665735	0.98866	1.479491268	3.05412907	2.623593173	1.269655254	1.468769203	1.078160323	1.008534707	3.585256346	6.06162619	2.549267499	3.222123173	1.861744571	3.465666999	2.870118852	2.378877338	3.068141188	2.652463173	3.740251188	3.635671268	0.323678688	3.389222824	1.192756266	4.014011733	1.873526999	3.36294619	1.363211268	2.09239	1.95687	1.044234707	1.783178767	2.68379907	4.625843689	1.189343348	5.890857338	0.805126176	2.223339879	3.865836346	0.287638767	3.600151268	5.174093173	4.417174185	2.423518095	4.665103349	5.453259649	0.0	4.05228	4.695609879	3.371916472	5.464444571	2.736711268	3.483115195	4.143608095	0.292456758	3.620327499	3.203501631	2.908105735	2.58068	3.726194707	1.267736187	4.191608095	2.4359	0.408336476	0.708736176	0.42086	2.849399879	3.824896472	0.89546907	3.206276266	2.547908095	4.149146999	1.12214	0.62309	2.933934234	3.696041435	3.478831268	2.62852314	1.60759	5.342303971	0.0	3.67657	5.23276907	2.62968
TYMP	4.836213173	3.363028426	1.415607227	5.703028688	5.211950672	6.478516476	7.52704155	7.559063348	4.047380593	9.334634707	4.368442953	3.596673971	9.756601435	8.386438377	8.045793173	6.937239649	5.740491684	7.385115735	3.87882	5.850941268	8.75511907	10.59569317	3.188885254	7.769899203	5.695610323	3.636184707	3.181826346	5.67570619	8.539647499	4.087223173	2.412974571	7.878626999	7.666818852	4.213977338	6.335091188	1.480263173	9.200721188	6.417131268	2.055478688	9.018522824	0.853076266	9.435491733	7.014316999	8.23851619	4.651121268	2.23684	7.01883	2.215584707	3.055358767	6.85286907	9.479683689	1.763343348	8.035427338	9.981946176	2.343939879	7.053546346	2.302408767	7.774161268	8.802633173	9.942784185	9.217698095	8.396703349	8.690829649	2.65323957	9.08359	10.48501988	5.911356472	8.735284571	8.279241268	6.867305195	4.402568095	4.830686758	10.2943375	5.566311631	8.641425735	7.308	7.593934707	4.490686187	8.858318095	1.76735	5.574436476	5.332696176	2.54396	4.123549879	4.623626472	3.26625907	7.174416266	5.846728095	6.573706999	0.86602	2.80256	5.000484234	6.947711435	7.265941268	5.17453314	6.72911	7.300913971	1.143062824	3.27457	6.80560907	3.636
